phase3a_event_id,pair_id,observational_reference_role,baseline_variant_id,baseline_materialization_status,baseline_inadmissibility_reason,baseline_decision_available,baseline_qpp_selected,expected_reference_selection_state,baseline_gate_state
F3AE000075,F3AP0038,PUBLISHED_QPP_REFERENCE,F3AV005773,ELIGIBLE_FOR_AFINO,,true,true,true,REFERENCE_CONCORDANT
F3AE000076,F3AP0038,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV005851,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000077,F3AP0039,PUBLISHED_QPP_REFERENCE,F3AV005929,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000078,F3AP0039,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006007,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000079,F3AP0040,PUBLISHED_QPP_REFERENCE,F3AV006085,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000080,F3AP0040,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006163,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000081,F3AP0041,PUBLISHED_QPP_REFERENCE,F3AV006241,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000082,F3AP0041,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006319,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000083,F3AP0042,PUBLISHED_QPP_REFERENCE,F3AV006397,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000084,F3AP0042,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006475,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000085,F3AP0043,PUBLISHED_QPP_REFERENCE,F3AV006553,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000086,F3AP0043,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006631,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
