planned_decision_id,decision_order,decision_class,phase3a_event_id,pair_id,observational_reference_role,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,payload_id,payload_logical_sha256,input_n_samples,resolved_decision_status
F3ADP000084,48,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000084,F3AC006,W00,P05,0,F3APAY000048,3a7d8b5506be970f1f5e125693f96d618ee916b3ff87893e334cfbc849792bde,28,READY_FOR_AFINO
F3ADP000085,49,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000085,F3AC007,WSm2,P00,0,F3APAY000049,387742e67a3955bb48b44123b5fd35a6e33b42e503d4e9ec829b48f963e5323b,30,READY_FOR_AFINO
F3ADP000086,50,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000086,F3AC008,WSm2,P01,0,F3APAY000050,c861108f1dd83d91ff64834356f3cca8a952498fbe4c6b612552c18a0b9b0dc6,30,READY_FOR_AFINO
F3ADP000089,51,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000089,F3AC011,WSm2,P04,0,F3APAY000051,53d13c3b97db0171f3dc7176c5664fca81a9cd5650657efc6305889700812632,30,READY_FOR_AFINO
F3ADP000090,52,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000090,F3AC012,WSm2,P05,0,F3APAY000052,17ec90eb3f5117fc770114bf62a8a005c2edc465d15aae6bb09e77497809cc38,30,READY_FOR_AFINO
F3ADP000091,53,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000091,F3AC013,WSm1,P00,0,F3APAY000053,a12d20b2a8ee50ecbc24ddaa3a0127cf8d69ef5b20bb10e3abd23e893980584d,29,READY_FOR_AFINO
F3ADP000092,54,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000092,F3AC014,WSm1,P01,0,F3APAY000054,ccdc201857be6060679791c522ecb4baf521a2ef5691e7b60c666e0a2630fca6,29,READY_FOR_AFINO
F3ADP000095,55,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000095,F3AC017,WSm1,P04,0,F3APAY000055,67a8d89d42658eaf3d11aa9b4d265b49514a3e5312219327828e4b1b3356b21a,29,READY_FOR_AFINO
F3ADP000096,56,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000096,F3AC018,WSm1,P05,0,F3APAY000056,f08bb3253ced655f057f6ae4a3b165a429fb0d30a912e196b4243f16aa600f4f,29,READY_FOR_AFINO
F3ADP000097,57,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000097,F3AC019,WSp1,P00,0,F3APAY000057,e0f5d4b6333238fcc47bfdc4282c6f6b5f3404433bd9e14f9549671d248d43b4,27,READY_FOR_AFINO
F3ADP000098,58,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000098,F3AC020,WSp1,P01,0,F3APAY000058,0df63eaee066635b2ebe135f114f3ede7665b153944430bda7a035931bb1c000,27,READY_FOR_AFINO
F3ADP000101,59,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000101,F3AC023,WSp1,P04,0,F3APAY000059,04ac970b7243eb7998065c96b7c466bae63797f10d63d4d5358fb83cbab02ab8,27,READY_FOR_AFINO
F3ADP000102,60,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000102,F3AC024,WSp1,P05,0,F3APAY000060,b8deeb751c8be7665aec21d98c01712d2cd020e8ee79bfe040adc04636b2b2b3,27,READY_FOR_AFINO
F3ADP000103,61,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000103,F3AC025,WSp2,P00,0,F3APAY000061,ba1bad6e01e10b78bc5185b70d65cac37c91e9d96a63c854ab4681fd9f7d2ed0,26,READY_FOR_AFINO
