planned_decision_id,decision_order,variant_id,external_optimizer_seed,payload_id,n_samples,mean_dt_external,median_dt_external,afino_dt_m0,afino_dt_m1,afino_dt_m2,mean_dt_match_m0,mean_dt_match_m1,mean_dt_match_m2,positive_fftfreq_bin_count_external,rfftfreq_positive_bin_count_external,afino_bin_count_m0,afino_bin_count_m1,afino_bin_count_m2,fftfreq_positive_match,legacy_median_dt_match,legacy_rfftfreq_match
F3ADS000678,7100,F3AV006241,3,F3APAY004109,15,19.999809720216685,19.999810071021784,19.999809720216685,19.999809720216685,19.999809720216685,true,true,true,7,7,7,7,7,true,false,true
F3ADS000679,7101,F3AV006241,4,F3APAY004109,15,19.999809720216685,19.999810071021784,19.999809720216685,19.999809720216685,19.999809720216685,true,true,true,7,7,7,7,7,true,false,true
F3ADS000680,7102,F3AV006241,5,F3APAY004109,15,19.999809720216685,19.999810071021784,19.999809720216685,19.999809720216685,19.999809720216685,true,true,true,7,7,7,7,7,true,false,true
F3ADS000681,7103,F3AV006241,6,F3APAY004109,15,19.999809720216685,19.999810071021784,19.999809720216685,19.999809720216685,19.999809720216685,true,true,true,7,7,7,7,7,true,false,true
F3ADS000682,7104,F3AV006241,7,F3APAY004109,15,19.999809720216685,19.999810071021784,19.999809720216685,19.999809720216685,19.999809720216685,true,true,true,7,7,7,7,7,true,false,true
F3ADS000683,7105,F3AV006241,8,F3APAY004109,15,19.999809720216685,19.999810071021784,19.999809720216685,19.999809720216685,19.999809720216685,true,true,true,7,7,7,7,7,true,false,true
F3ADS000684,7106,F3AV006241,9,F3APAY004109,15,19.999809720216685,19.999810071021784,19.999809720216685,19.999809720216685,19.999809720216685,true,true,true,7,7,7,7,7,true,false,true
F3ADS000685,7107,F3AV006319,1,F3APAY004137,43,19.999883478158154,19.999885468860157,19.999883478158154,19.999883478158154,19.999883478158154,true,true,true,21,21,21,21,21,true,false,true
F3ADS000686,7108,F3AV006319,2,F3APAY004137,43,19.999883478158154,19.999885468860157,19.999883478158154,19.999883478158154,19.999883478158154,true,true,true,21,21,21,21,21,true,false,true
F3ADS000687,7109,F3AV006319,3,F3APAY004137,43,19.999883478158154,19.999885468860157,19.999883478158154,19.999883478158154,19.999883478158154,true,true,true,21,21,21,21,21,true,false,true
F3ADS000688,7110,F3AV006319,4,F3APAY004137,43,19.999883478158154,19.999885468860157,19.999883478158154,19.999883478158154,19.999883478158154,true,true,true,21,21,21,21,21,true,false,true
F3ADS000689,7111,F3AV006319,5,F3APAY004137,43,19.999883478158154,19.999885468860157,19.999883478158154,19.999883478158154,19.999883478158154,true,true,true,21,21,21,21,21,true,false,true
F3ADS000690,7112,F3AV006319,6,F3APAY004137,43,19.999883478158154,19.999885468860157,19.999883478158154,19.999883478158154,19.999883478158154,true,true,true,21,21,21,21,21,true,false,true
F3ADS000691,7113,F3AV006319,7,F3APAY004137,43,19.999883478158154,19.999885468860157,19.999883478158154,19.999883478158154,19.999883478158154,true,true,true,21,21,21,21,21,true,false,true
F3ADS000692,7114,F3AV006319,8,F3APAY004137,43,19.999883478158154,19.999885468860157,19.999883478158154,19.999883478158154,19.999883478158154,true,true,true,21,21,21,21,21,true,false,true
F3ADS000693,7115,F3AV006319,9,F3APAY004137,43,19.999883478158154,19.999885468860157,19.999883478158154,19.999883478158154,19.999883478158154,true,true,true,21,21,21,21,21,true,false,true
F3ADS000694,7116,F3AV006397,1,F3APAY004215,38,20.000435407013896,20.000433684617747,20.000435407013896,20.000435407013896,20.000435407013896,true,true,true,18,19,18,18,18,true,false,false
F3ADS000695,7117,F3AV006397,2,F3APAY004215,38,20.000435407013896,20.000433684617747,20.000435407013896,20.000435407013896,20.000435407013896,true,true,true,18,19,18,18,18,true,false,false
F3ADS000696,7118,F3AV006397,3,F3APAY004215,38,20.000435407013896,20.000433684617747,20.000435407013896,20.000435407013896,20.000435407013896,true,true,true,18,19,18,18,18,true,false,false
F3ADS000697,7119,F3AV006397,4,F3APAY004215,38,20.000435407013896,20.000433684617747,20.000435407013896,20.000435407013896,20.000435407013896,true,true,true,18,19,18,18,18,true,false,false
F3ADS000698,7120,F3AV006397,5,F3APAY004215,38,20.000435407013896,20.000433684617747,20.000435407013896,20.000435407013896,20.000435407013896,true,true,true,18,19,18,18,18,true,false,false
F3ADS000699,7121,F3AV006397,6,F3APAY004215,38,20.000435407013896,20.000433684617747,20.000435407013896,20.000435407013896,20.000435407013896,true,true,true,18,19,18,18,18,true,false,false
F3ADS000700,7122,F3AV006397,7,F3APAY004215,38,20.000435407013896,20.000433684617747,20.000435407013896,20.000435407013896,20.000435407013896,true,true,true,18,19,18,18,18,true,false,false
F3ADS000701,7123,F3AV006397,8,F3APAY004215,38,20.000435407013896,20.000433684617747,20.000435407013896,20.000435407013896,20.000435407013896,true,true,true,18,19,18,18,18,true,false,false
F3ADS000702,7124,F3AV006397,9,F3APAY004215,38,20.000435407013896,20.000433684617747,20.000435407013896,20.000435407013896,20.000435407013896,true,true,true,18,19,18,18,18,true,false,false
F3ADS000703,7125,F3AV006475,1,F3APAY004267,43,20.000286721603647,20.00028780021239,20.000286721603647,20.000286721603647,20.000286721603647,true,true,true,21,21,21,21,21,true,false,true
F3ADS000704,7126,F3AV006475,2,F3APAY004267,43,20.000286721603647,20.00028780021239,20.000286721603647,20.000286721603647,20.000286721603647,true,true,true,21,21,21,21,21,true,false,true
F3ADS000705,7127,F3AV006475,3,F3APAY004267,43,20.000286721603647,20.00028780021239,20.000286721603647,20.000286721603647,20.000286721603647,true,true,true,21,21,21,21,21,true,false,true
F3ADS000706,7128,F3AV006475,4,F3APAY004267,43,20.000286721603647,20.00028780021239,20.000286721603647,20.000286721603647,20.000286721603647,true,true,true,21,21,21,21,21,true,false,true
F3ADS000707,7129,F3AV006475,5,F3APAY004267,43,20.000286721603647,20.00028780021239,20.000286721603647,20.000286721603647,20.000286721603647,true,true,true,21,21,21,21,21,true,false,true
F3ADS000708,7130,F3AV006475,6,F3APAY004267,43,20.000286721603647,20.00028780021239,20.000286721603647,20.000286721603647,20.000286721603647,true,true,true,21,21,21,21,21,true,false,true
F3ADS000709,7131,F3AV006475,7,F3APAY004267,43,20.000286721603647,20.00028780021239,20.000286721603647,20.000286721603647,20.000286721603647,true,true,true,21,21,21,21,21,true,false,true
F3ADS000710,7132,F3AV006475,8,F3APAY004267,43,20.000286721603647,20.00028780021239,20.000286721603647,20.000286721603647,20.000286721603647,true,true,true,21,21,21,21,21,true,false,true
F3ADS000711,7133,F3AV006475,9,F3APAY004267,43,20.000286721603647,20.00028780021239,20.000286721603647,20.000286721603647,20.000286721603647,true,true,true,21,21,21,21,21,true,false,true
F3ADS000712,7134,F3AV006553,1,F3APAY004319,60,19.999863020187814,19.999860126699787,19.999863020187814,19.999863020187814,19.999863020187814,true,true,true,29,30,29,29,29,true,false,false
F3ADS000713,7135,F3AV006553,2,F3APAY004319,60,19.999863020187814,19.999860126699787,19.999863020187814,19.999863020187814,19.999863020187814,true,true,true,29,30,29,29,29,true,false,false
F3ADS000714,7136,F3AV006553,3,F3APAY004319,60,19.999863020187814,19.999860126699787,19.999863020187814,19.999863020187814,19.999863020187814,true,true,true,29,30,29,29,29,true,false,false
F3ADS000715,7137,F3AV006553,4,F3APAY004319,60,19.999863020187814,19.999860126699787,19.999863020187814,19.999863020187814,19.999863020187814,true,true,true,29,30,29,29,29,true,false,false
F3ADS000716,7138,F3AV006553,5,F3APAY004319,60,19.999863020187814,19.999860126699787,19.999863020187814,19.999863020187814,19.999863020187814,true,true,true,29,30,29,29,29,true,false,false
F3ADS000717,7139,F3AV006553,6,F3APAY004319,60,19.999863020187814,19.999860126699787,19.999863020187814,19.999863020187814,19.999863020187814,true,true,true,29,30,29,29,29,true,false,false
F3ADS000718,7140,F3AV006553,7,F3APAY004319,60,19.999863020187814,19.999860126699787,19.999863020187814,19.999863020187814,19.999863020187814,true,true,true,29,30,29,29,29,true,false,false
F3ADS000719,7141,F3AV006553,8,F3APAY004319,60,19.999863020187814,19.999860126699787,19.999863020187814,19.999863020187814,19.999863020187814,true,true,true,29,30,29,29,29,true,false,false
F3ADS000720,7142,F3AV006553,9,F3APAY004319,60,19.999863020187814,19.999860126699787,19.999863020187814,19.999863020187814,19.999863020187814,true,true,true,29,30,29,29,29,true,false,false
F3ADS000721,7143,F3AV006631,1,F3APAY004371,24,19.999912599577446,19.999910418118816,19.999912599577446,19.999912599577446,19.999912599577446,true,true,true,11,12,11,11,11,true,false,false
F3ADS000722,7144,F3AV006631,2,F3APAY004371,24,19.999912599577446,19.999910418118816,19.999912599577446,19.999912599577446,19.999912599577446,true,true,true,11,12,11,11,11,true,false,false
F3ADS000723,7145,F3AV006631,3,F3APAY004371,24,19.999912599577446,19.999910418118816,19.999912599577446,19.999912599577446,19.999912599577446,true,true,true,11,12,11,11,11,true,false,false
F3ADS000724,7146,F3AV006631,4,F3APAY004371,24,19.999912599577446,19.999910418118816,19.999912599577446,19.999912599577446,19.999912599577446,true,true,true,11,12,11,11,11,true,false,false
F3ADS000725,7147,F3AV006631,5,F3APAY004371,24,19.999912599577446,19.999910418118816,19.999912599577446,19.999912599577446,19.999912599577446,true,true,true,11,12,11,11,11,true,false,false
F3ADS000726,7148,F3AV006631,6,F3APAY004371,24,19.999912599577446,19.999910418118816,19.999912599577446,19.999912599577446,19.999912599577446,true,true,true,11,12,11,11,11,true,false,false
F3ADS000727,7149,F3AV006631,7,F3APAY004371,24,19.999912599577446,19.999910418118816,19.999912599577446,19.999912599577446,19.999912599577446,true,true,true,11,12,11,11,11,true,false,false
F3ADS000728,7150,F3AV006631,8,F3APAY004371,24,19.999912599577446,19.999910418118816,19.999912599577446,19.999912599577446,19.999912599577446,true,true,true,11,12,11,11,11,true,false,false
F3ADS000729,7151,F3AV006631,9,F3APAY004371,24,19.999912599577446,19.999910418118816,19.999912599577446,19.999912599577446,19.999912599577446,true,true,true,11,12,11,11,11,true,false,false
F3ADS000730,7152,F3AV006709,1,F3APAY004449,40,20.00031607704631,20.000312985212076,20.00031607704631,20.00031607704631,20.00031607704631,true,true,true,19,20,19,19,19,true,false,false
F3ADS000731,7153,F3AV006709,2,F3APAY004449,40,20.00031607704631,20.000312985212076,20.00031607704631,20.00031607704631,20.00031607704631,true,true,true,19,20,19,19,19,true,false,false
F3ADS000732,7154,F3AV006709,3,F3APAY004449,40,20.00031607704631,20.000312985212076,20.00031607704631,20.00031607704631,20.00031607704631,true,true,true,19,20,19,19,19,true,false,false
F3ADS000733,7155,F3AV006709,4,F3APAY004449,40,20.00031607704631,20.000312985212076,20.00031607704631,20.00031607704631,20.00031607704631,true,true,true,19,20,19,19,19,true,false,false
F3ADS000734,7156,F3AV006709,5,F3APAY004449,40,20.00031607704631,20.000312985212076,20.00031607704631,20.00031607704631,20.00031607704631,true,true,true,19,20,19,19,19,true,false,false
F3ADS000735,7157,F3AV006709,6,F3APAY004449,40,20.00031607704631,20.000312985212076,20.00031607704631,20.00031607704631,20.00031607704631,true,true,true,19,20,19,19,19,true,false,false
F3ADS000736,7158,F3AV006709,7,F3APAY004449,40,20.00031607704631,20.000312985212076,20.00031607704631,20.00031607704631,20.00031607704631,true,true,true,19,20,19,19,19,true,false,false
F3ADS000737,7159,F3AV006709,8,F3APAY004449,40,20.00031607704631,20.000312985212076,20.00031607704631,20.00031607704631,20.00031607704631,true,true,true,19,20,19,19,19,true,false,false
F3ADS000738,7160,F3AV006709,9,F3APAY004449,40,20.00031607704631,20.000312985212076,20.00031607704631,20.00031607704631,20.00031607704631,true,true,true,19,20,19,19,19,true,false,false
