phase3a_event_id,variant_id,window_variant_id,processing_profile_id,baseline_period_s,variant_period_s,signed_period_change_s,absolute_period_change_s,period_ratio_variant_to_baseline
F3AE000019,F3AV001431,WSp2,P02,48.54942218392683,48.373475371366325,-0.17594681256050393,0.17594681256050393,0.9963759236537576
F3AE000019,F3AV001432,WSp2,P03,48.54942218392683,48.64200247139373,0.09258028746690172,0.09258028746690172,1.0019069287192783
F3AE000019,F3AV001433,WSp2,P04,48.54942218392683,48.36995547691809,-0.17946670700873568,0.17946670700873568,0.996303422390305
F3AE000019,F3AV001434,WSp2,P05,48.54942218392683,48.639376215107376,0.08995403118054668,0.08995403118054668,1.001852834228176
F3AE000019,F3AV001435,WEm2,P00,48.54942218392683,48.763860013643104,0.21443782971627456,0.21443782971627456,1.0044168976698402
F3AE000019,F3AV001436,WEm2,P01,48.54942218392683,48.88342808294475,0.33400589901791733,0.33400589901791733,1.0068797090468462
F3AE000019,F3AV001437,WEm2,P02,48.54942218392683,48.763860013643104,0.21443782971627456,0.21443782971627456,1.0044168976698402
F3AE000019,F3AV001438,WEm2,P03,48.54942218392683,48.88342808294475,0.33400589901791733,0.33400589901791733,1.0068797090468462
F3AE000019,F3AV001439,WEm2,P04,48.54942218392683,48.76672123604401,0.21729905211718403,0.21729905211718403,1.004475831891345
F3AE000019,F3AV001440,WEm2,P05,48.54942218392683,48.88676852128582,0.3373463373589942,0.3373463373589942,1.0069485139510204
F3AE000019,F3AV001441,WEm1,P00,48.54942218392683,47.884225834765225,-0.6651963491616044,0.6651963491616044,0.9862985733045072
F3AE000019,F3AV001442,WEm1,P01,48.54942218392683,48.2723759081327,-0.27704627579412744,0.27704627579412744,0.994293520636671
F3AE000019,F3AV001443,WEm1,P02,48.54942218392683,47.884225834765225,-0.6651963491616044,0.6651963491616044,0.9862985733045072
F3AE000019,F3AV001444,WEm1,P03,48.54942218392683,48.2723759081327,-0.27704627579412744,0.27704627579412744,0.994293520636671
F3AE000019,F3AV001445,WEm1,P04,48.54942218392683,47.88470562724411,-0.6647165566827198,0.6647165566827198,0.986308455862472
F3AE000019,F3AV001446,WEm1,P05,48.54942218392683,48.27277883167568,-0.2766433522511491,0.2766433522511491,0.9943018198815405
F3AE000019,F3AV001447,WEp1,P00,48.54942218392683,47.9899346020159,-0.5594875819109291,0.5594875819109291,0.9884759167721638
F3AE000019,F3AV001448,WEp1,P01,48.54942218392683,48.33305915182174,-0.216363032105086,0.216363032105086,0.9955434478440257
F3AE000019,F3AV001449,WEp1,P02,48.54942218392683,47.9899346020159,-0.5594875819109291,0.5594875819109291,0.9884759167721638
F3AE000019,F3AV001450,WEp1,P03,48.54942218392683,48.33305915182174,-0.216363032105086,0.216363032105086,0.9955434478440257
F3AE000019,F3AV001451,WEp1,P04,48.54942218392683,47.992881110739475,-0.5565410731873541,0.5565410731873541,0.9885366076844555
F3AE000019,F3AV001452,WEp1,P05,48.54942218392683,48.33538805960793,-0.2140341243188999,0.2140341243188999,0.995591417679328
F3AE000019,F3AV001453,WEp2,P00,48.54942218392683,48.36578102810575,-0.18364115582107843,0.18364115582107843,0.9962174388991621
F3AE000019,F3AV001454,WEp2,P01,48.54942218392683,48.55759455902671,0.00817237509988189,0.00817237509988189,1.0001683310476677
F3AE000019,F3AV001455,WEp2,P02,48.54942218392683,48.36578102810575,-0.18364115582107843,0.18364115582107843,0.9962174388991621
F3AE000019,F3AV001456,WEp2,P03,48.54942218392683,48.55759455902671,0.00817237509988189,0.00817237509988189,1.0001683310476677
F3AE000019,F3AV001457,WEp2,P04,48.54942218392683,48.37225785491211,-0.17716432901472245,0.17716432901472245,0.9963508457764225
