job_id,planned_decision_id,variant_id,external_optimizer_seed,model_id,full_plan_match,payload_match,scientific_key_match,canary_result_core_sha256,imported_result_core_sha256,result_core_match,source_checkpoint_sha256,bootstrap_status
F3AJ0000277,F3ADP000151,F3AV000151,0,M0,true,true,true,d8d2f19637b0026dd0b6c57584368b638947d95481d5aa5f1af549354a25a429,d8d2f19637b0026dd0b6c57584368b638947d95481d5aa5f1af549354a25a429,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000278,F3ADP000151,F3AV000151,0,M1,true,true,true,65bc105e443c30fe87264f6a5b9fac8ba5a49b65c32e8b6ad9c1db902b0ffe51,65bc105e443c30fe87264f6a5b9fac8ba5a49b65c32e8b6ad9c1db902b0ffe51,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000279,F3ADP000151,F3AV000151,0,M2,true,true,true,f7c4bcfc5c56be4d58e4ecbff71591ff4d7cc0d0030055b18ab8818ebb32ff2b,f7c4bcfc5c56be4d58e4ecbff71591ff4d7cc0d0030055b18ab8818ebb32ff2b,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000343,F3ADP000185,F3AV000185,0,M0,true,true,true,bfb66355781c4d005bb65df666ffddea5fcc55c6fb97245adbf4b98f5e508399,bfb66355781c4d005bb65df666ffddea5fcc55c6fb97245adbf4b98f5e508399,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000344,F3ADP000185,F3AV000185,0,M1,true,true,true,6854d823d10fa5325456ad60c9e3c0c263fb436ef484d471c18d78b135b8aa2e,6854d823d10fa5325456ad60c9e3c0c263fb436ef484d471c18d78b135b8aa2e,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000345,F3ADP000185,F3AV000185,0,M2,true,true,true,afb0becca3f96915337eba6986520c4aa2d681afb1b18cec0b0aeb247ee3eac5,afb0becca3f96915337eba6986520c4aa2d681afb1b18cec0b0aeb247ee3eac5,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000433,F3ADP000229,F3AV000229,0,M0,true,true,true,1fe453fb8f703a67e59db0772279e7afd7bd4a6cd2977c6e4e5ea07b836afcd8,1fe453fb8f703a67e59db0772279e7afd7bd4a6cd2977c6e4e5ea07b836afcd8,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000434,F3ADP000229,F3AV000229,0,M1,true,true,true,e437f36389c138fb9180803b551b16e011e75ef1b7016c03940f2d47bca076e2,e437f36389c138fb9180803b551b16e011e75ef1b7016c03940f2d47bca076e2,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000435,F3ADP000229,F3AV000229,0,M2,true,true,true,dc4aeeee8da8dbd2cc69bd38a48a4a5a07f685b4c02d59cd130857a49ae5e981,dc4aeeee8da8dbd2cc69bd38a48a4a5a07f685b4c02d59cd130857a49ae5e981,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000487,F3ADP000249,F3AV000249,0,M0,true,true,true,30c3bd39ab962ad0049634fe8810d9e2472dd000f4261e87d36ad684d2ff7a51,30c3bd39ab962ad0049634fe8810d9e2472dd000f4261e87d36ad684d2ff7a51,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000488,F3ADP000249,F3AV000249,0,M1,true,true,true,4fb195ec8e5372102d05da668c6361862cdf1be164d412cbdaca91abfa1098cb,4fb195ec8e5372102d05da668c6361862cdf1be164d412cbdaca91abfa1098cb,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
