phase3a_event_id,pair_id,source_work_id,source_row_number,source_event_identifier,canonical_source_event_key,tic_id,sector,source_start_time,source_peak_time,source_end_time,observational_reference_role,matching_level,matched_partner_event_id,membership_status,membership_reason
F3AE000033,F3AP0017,BAIIW0001,2212,SRC_3a764967f8168620969c9d985143a8dc71968721d4472e5c69b67a01af3d4b97,BAIIW0001|TIC238194430|S32|SRC_3a764967f8168620969c9d985143a8dc71968721d4472e5c69b67a01af3d4b97,238194430,32,2178.105306,2178.106001,2178.108779,PUBLISHED_QPP_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000034,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000034,F3AP0017,BAIIW0001,2213,SRC_39a0f5152e38b0ef397c973ba093e9a39b8daac0788254f95afea6fe944a6ca3,BAIIW0001|TIC238194430|S32|SRC_39a0f5152e38b0ef397c973ba093e9a39b8daac0788254f95afea6fe944a6ca3,238194430,32,2179.585366,2179.586524,2179.59069,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000033,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000035,F3AP0018,BAIIW0001,2227,SRC_70d4809d665f73faa58728e13d4a51e29fd5bc0816828d7a3f5d0a4ba5d276e2,BAIIW0001|TIC239134011|S45|SRC_70d4809d665f73faa58728e13d4a51e29fd5bc0816828d7a3f5d0a4ba5d276e2,239134011,45,2546.421667,2546.422593,2546.429075,PUBLISHED_QPP_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000036,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000036,F3AP0018,BAIIW0001,2228,SRC_e848e46a94d9a45c0c61a84f2a995b78dd3611507ada5fd6309b0877d0873d6d,BAIIW0001|TIC239134011|S45|SRC_e848e46a94d9a45c0c61a84f2a995b78dd3611507ada5fd6309b0877d0873d6d,239134011,45,2547.929867,2547.930793,2547.93357,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000035,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000037,F3AP0019,BAIIW0001,172,SRC_f76eb611af88c9b51af973a84440ba53003a88cd88ca62771f72d6a79d91b509,BAIIW0001|TIC24518895|S32|SRC_f76eb611af88c9b51af973a84440ba53003a88cd88ca62771f72d6a79d91b509,24518895,32,2198.799707,2198.800633,2198.805725,PUBLISHED_QPP_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000038,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000038,F3AP0019,BAIIW0001,171,SRC_20576ea29a30324e02be0de530c7e6c4540779747b8c6e6bf1266001de7aa3ac,BAIIW0001|TIC24518895|S32|SRC_20576ea29a30324e02be0de530c7e6c4540779747b8c6e6bf1266001de7aa3ac,24518895,32,2180.577182,2180.577876,2180.584821,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000037,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000039,F3AP0020,BAIIW0001,2460,SRC_8f6f940d2de382bd21db35dc2f10eb75d732ce50e87403016a9383c1f23a0ece,BAIIW0001|TIC268510757|S70|SRC_8f6f940d2de382bd21db35dc2f10eb75d732ce50e87403016a9383c1f23a0ece,268510757,70,3210.227137,3210.228295,3210.235703,PUBLISHED_QPP_REFERENCE,SAME_SECTOR,F3AE000040,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000040,F3AP0020,BAIIW0001,869,SRC_07c98671d049eebc4d7a402c07fcdafb0e29928368e8fe28027d3d79665ec499,BAIIW0001|TIC118820774|S70|SRC_07c98671d049eebc4d7a402c07fcdafb0e29928368e8fe28027d3d79665ec499,118820774,70,3224.070179,3224.070411,3224.07805,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_SECTOR,F3AE000039,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000041,F3AP0021,BAIIW0001,2563,SRC_daf0da136e7743912aa20687f573720c915c236293bbc2e148bb71c4bfc6dbbd,BAIIW0001|TIC273416539|S68|SRC_daf0da136e7743912aa20687f573720c915c236293bbc2e148bb71c4bfc6dbbd,273416539,68,3161.753388,3161.754545,3161.757786,PUBLISHED_QPP_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000042,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000042,F3AP0021,BAIIW0001,2564,SRC_f3aa5ba438a41e5be6a7a26e0b561a1f0eb87d11a7d74c282b2e84f92f1fb978,BAIIW0001|TIC273416539|S68|SRC_f3aa5ba438a41e5be6a7a26e0b561a1f0eb87d11a7d74c282b2e84f92f1fb978,273416539,68,3177.1568,3177.157262,3177.159114,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000041,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
