payload_id,variant_id,offset,length,time_sha256,flux_sha256,native_index_sha256,logical_payload_sha256,n_samples,first_time_s,last_time_s,time_dtype,flux_dtype,native_index_dtype
F3APAY000033,F3AV000055,968,32,adeebfa3112b6ae0910bcce6d197fcef8ca985b29ab9221e7339f61f9359b62d,4db1b468d79f1bab0609cb8105d64856654d76cf92bdce9e6a1e53132a839f53,3487128e3e4f92773efa96bd2f7386b4cc36a7a361f8acb4c4cd6fcc66028a15,8e0fecb18a148d7ebf4ee4d70a855340ec9729858c6963d3e04c8fdec4802060,32,0.0,620.0051341555081,<f8,<f8,<i8
F3APAY000034,F3AV000056,1000,32,adeebfa3112b6ae0910bcce6d197fcef8ca985b29ab9221e7339f61f9359b62d,fe79c98fe72ea3ebc0672adb4cde0681456a787babf523574f662bc6aa10a5fb,3487128e3e4f92773efa96bd2f7386b4cc36a7a361f8acb4c4cd6fcc66028a15,abab5f9396ae76ffc2f0ed1543dc15cd7aa3ba8b33f43d7d6ab895c2b4371e62,32,0.0,620.0051341555081,<f8,<f8,<i8
F3APAY000035,F3AV000059,1032,32,adeebfa3112b6ae0910bcce6d197fcef8ca985b29ab9221e7339f61f9359b62d,aedf870b30c06ec70b53bb1ed6c86d9f4125e3ca4f6a0b8be2f25cf747431436,3487128e3e4f92773efa96bd2f7386b4cc36a7a361f8acb4c4cd6fcc66028a15,312b9a2ca7e606a0010de42d8705d6ee122ab01066f92a2c6c474bf1fed6e764,32,0.0,620.0051341555081,<f8,<f8,<i8
F3APAY000036,F3AV000060,1064,32,adeebfa3112b6ae0910bcce6d197fcef8ca985b29ab9221e7339f61f9359b62d,a630854e6b42588cae9e335d6fca15fc1202dee73797f57bd160a02da932563c,3487128e3e4f92773efa96bd2f7386b4cc36a7a361f8acb4c4cd6fcc66028a15,528ccc74ce254e3c1d729389a17417d229eb60d373f18cbedd9c30b94a9a5285,32,0.0,620.0051341555081,<f8,<f8,<i8
F3APAY000037,F3AV000061,1096,28,bf6e5c58cc09b5b00f06289f7b1279e88b3ec4a218add870b532447efb5eae44,b7df3c5bb673989c51c22e4b2bba62b070b01d7c2e14c969a70889c321296452,a0bb7cf02f0ddba113492dc271495761df16219484a2e60798aac2f14b01df26,9b982a4bf666b40e9b37660ace35eb3dc533bae4796cebbff9d0e8cb932be078,28,0.0,540.004468463303,<f8,<f8,<i8
F3APAY000038,F3AV000062,1124,28,bf6e5c58cc09b5b00f06289f7b1279e88b3ec4a218add870b532447efb5eae44,e10e7370f843f98643cd64c3838c5202a62d570ec48677c56c3057e3e7ce7718,a0bb7cf02f0ddba113492dc271495761df16219484a2e60798aac2f14b01df26,0de9eed7c50e5bbce03a3b17a54afd4b2e6b8f9efa9c60a0cc35330b30629869,28,0.0,540.004468463303,<f8,<f8,<i8
F3APAY000039,F3AV000065,1152,28,bf6e5c58cc09b5b00f06289f7b1279e88b3ec4a218add870b532447efb5eae44,ef7f4f0cffde42fab78c7377c969b04d3d3164fd44e30cc99a9536c595340bc0,a0bb7cf02f0ddba113492dc271495761df16219484a2e60798aac2f14b01df26,86dbf7c3592073bfc61503974a06caab368c47e86de80954506829ce95a729ff,28,0.0,540.004468463303,<f8,<f8,<i8
F3APAY000040,F3AV000066,1180,28,bf6e5c58cc09b5b00f06289f7b1279e88b3ec4a218add870b532447efb5eae44,49756aa09cca51e7e0f3b5e016f33734e0782f0ca378669b3ade644cc933f179,a0bb7cf02f0ddba113492dc271495761df16219484a2e60798aac2f14b01df26,e5a74f4a71dbd342e72f6102c6e71c23dacc8a9b1c1d5d5bdc50b86fb6b34033,28,0.0,540.004468463303,<f8,<f8,<i8
F3APAY000041,F3AV000067,1208,34,6bb3f3959cb0c68d8c4340dadbd0090292783822e49bad8a133ce15786f08294,9febad20f6cf9a18445690cba17aaa0fcc402b81951f7072d909716303d5317f,121c7fa5e1d63cb3a8f40893fa66260cb1262735e96bebfff4b75bdea9da1390,64778d9b306b8dd4be18047f28d0a1fb1c072b6ecbd3d94c9c319d8a3cb2d133,34,0.0,660.005456962972,<f8,<f8,<i8
F3APAY000042,F3AV000068,1242,34,6bb3f3959cb0c68d8c4340dadbd0090292783822e49bad8a133ce15786f08294,7fef2391fabd0b37c00803211e571bc71d8521edcd2c62eacf10bed6d7492cbe,121c7fa5e1d63cb3a8f40893fa66260cb1262735e96bebfff4b75bdea9da1390,486588472f4b658e75893d5a90ed31cbce3a2fe823358d50d5fcd70dede40664,34,0.0,660.005456962972,<f8,<f8,<i8
F3APAY000043,F3AV000071,1276,34,6bb3f3959cb0c68d8c4340dadbd0090292783822e49bad8a133ce15786f08294,1222640813b88d443265b14de38ca926772c78510a44e9242ead0eeb51b331df,121c7fa5e1d63cb3a8f40893fa66260cb1262735e96bebfff4b75bdea9da1390,b00d6155cb3b6b6469111197515c032112b5fce1906109ef615426e38acb233e,34,0.0,660.005456962972,<f8,<f8,<i8
