phase3a_event_id,tic_id,sector,source_time_system,source_time_unit,source_start_time,source_peak_time,source_end_time,native_timesys,native_bjdref,native_timeunit,source_start_index,source_peak_index,source_end_index,start_mapping_residual_s,peak_mapping_residual_s,end_mapping_residual_s,start_le_peak_le_end,w00_includes_peak,mapping_reproducible,time_mapping_status,mapping_notes
F3AE000071,348898049,63,TBJD,d,3037.018669,3037.019826,3037.041817,TDB,2457000.000000000000,d,97875,97880,97975,0.000027582,0.034311910,-0.005565728,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000072,348898049,29,TBJD,d,2103.194052,2103.194978,2103.20933,TDB,2457000.000000000000,d,64634,64638,64700,-0.007541788,-0.013629682,-0.021594271,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000073,350166984,80,TBJD,d,3493.081798,3493.082029,3493.083881,TDB,2457000.000000000000,d,57004,57005,57013,-0.010710815,0.031161585,0.020621564,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000074,334011023,80,TBJD,d,3485.461527,3485.461759,3485.46361,TDB,2457000.000000000000,d,24078,24079,24087,0.004201809,-0.040084618,0.037744732,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000075,355766445,28,TBJD,d,2070.211398,2070.212092,2070.227139,TDB,2457000.000000000000,d,36132,36135,36200,0.002910734,0.041586092,-0.013670897,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000076,355766445,28,TBJD,d,2080.238256,2080.238951,2080.242654,TDB,2457000.000000000000,d,79448,79451,79467,0.023497605,-0.024810525,0.034359923,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000077,356539820,41,TBJD,d,2437.864912,2437.865606,2437.869078,TDB,2457000.000000000000,d,77265,77268,77283,-0.025062650,0.014273648,0.038174959,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000078,356539820,41,TBJD,d,2444.507627,2444.507859,2444.511794,TDB,2457000.000000000000,d,105961,105962,105979,0.033254965,-0.011132359,0.011842686,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000079,358176584,28,TBJD,d,2067.427519,2067.428677,2067.431917,TDB,2457000.000000000000,d,24117,24122,24136,0.019061391,-0.033917672,0.025110977,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000080,358176584,28,TBJD,d,2083.737165,2083.738091,2083.742721,TDB,2457000.000000000000,d,94576,94580,94600,0.031350099,0.023348184,-0.016660643,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000081,364588501,32,TBJD,d,2180.440035,2180.44073,2180.443276,TDB,2457000.000000000000,d,26885,26888,26899,0.038746749,-0.009822975,0.013682841,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000082,364588501,32,TBJD,d,2194.136926,2194.139009,2194.146648,TDB,2457000.000000000000,d,86056,86065,86098,-0.040750508,-0.012996010,-0.026444407,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000083,382258517,30,TBJD,d,2118.282592,2118.283981,2118.291157,TDB,2457000.000000000000,d,10381,10387,10418,0.010035692,0.003047621,0.010145744,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000084,382258517,30,TBJD,d,2139.275566,2139.276955,2139.285288,TDB,2457000.000000000000,d,101069,101075,101111,-0.027802904,-0.035681133,0.003439383,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000085,382575967,63,TBJD,d,3026.683454,3026.685769,3026.697111,TDB,2457000.000000000000,d,53224,53234,53283,0.005095346,-0.012283365,0.032213540,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000086,382575967,63,TBJD,d,3021.70154,3021.702003,3021.706864,TDB,2457000.000000000000,d,31702,31704,31725,-0.028348526,-0.031727678,-0.023958753,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000087,395130640,38,TBJD,d,2337.272294,2337.273451,2337.281322,TDB,2457000.000000000000,d,14785,14790,14824,-0.027463947,0.009321043,-0.034336938,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000088,395130640,38,TBJD,d,2353.12478,2353.125706,2353.130104,TDB,2457000.000000000000,d,83267,83271,83290,0.004346750,-0.001626063,0.013298387,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000089,405040121,65,TBJD,d,3091.0281,3091.029489,3091.036201,TDB,2457000.000000000000,d,96301,96307,96336,-0.031502152,-0.042505639,0.033867067,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000090,405040121,64,TBJD,d,3044.987425,3044.988582,3044.996453,TDB,2457000.000000000000,d,16747,16752,16786,-0.025295130,0.012574976,-0.023627891,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000091,407999987,44,TBJD,d,2523.270312,2523.271007,2523.283044,TDB,2457000.000000000000,d,99722,99725,99777,0.034101865,-0.012275035,0.019313516,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000092,407999987,44,TBJD,d,2515.377432,2515.37859,2515.385997,TDB,2457000.000000000000,d,65626,65631,65663,0.024318219,-0.022258825,0.042310799,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000093,417119788,49,TBJD,d,2657.111429,2657.112817,2657.120919,TDB,2457000.000000000000,d,84852,84858,84893,-0.036106410,0.040498973,0.026560627,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000094,446175401,49,TBJD,d,2656.372657,2656.37312,2656.382148,TDB,2457000.000000000000,d,81661,81663,81702,-0.012702434,-0.015859988,-0.034343185,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000095,420031513,43,TBJD,d,2479.67729,2479.677984,2479.686549,TDB,2457000.000000000000,d,23813,23816,23853,-0.035566131,0.006106557,0.030295040,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000096,420031513,43,TBJD,d,2480.984998,2480.985924,2480.9931,TDB,2457000.000000000000,d,29462,29466,29497,-0.004005790,-0.006256842,0.019537784,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000097,425933644,29,TBJD,d,2097.667076,2097.667308,2097.6724,TDB,2457000.000000000000,d,40740,40741,40763,0.019068149,-0.026062467,0.017643448,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000098,425933644,69,TBJD,d,3203.960593,3203.962445,3203.966843,TDB,2457000.000000000000,d,93354,93362,93381,0.015160348,-0.002280244,-0.000499024,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
