job_id,job_order,planned_decision_id,decision_class,phase3a_event_id,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,model_id,model_name,payload_id,payload_logical_sha256,afino_version,afino_commit,low_frequency_cutoff_hz,seed_application_contract,selection_rule,execution_status
F3AJ0000035,35,F3ADP000018,PRIMARY,F3AE000001,F3AV000018,F3AC018,WSm1,P05,0,M1,pow_const_gauss,F3APAY000012,368043c25c6f2797ab3ed6758545317e76952687dba74b0ab76395bdb0fb4ac5,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000036,36,F3ADP000018,PRIMARY,F3AE000001,F3AV000018,F3AC018,WSm1,P05,0,M2,bpow_const,F3APAY000012,368043c25c6f2797ab3ed6758545317e76952687dba74b0ab76395bdb0fb4ac5,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000037,37,F3ADP000019,PRIMARY,F3AE000001,F3AV000019,F3AC019,WSp1,P00,0,M0,pow_const,F3APAY000013,4ada96c9c603c5fd7860c25540acb1e828ac8cd5850060e52659f70b8675298a,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000038,38,F3ADP000019,PRIMARY,F3AE000001,F3AV000019,F3AC019,WSp1,P00,0,M1,pow_const_gauss,F3APAY000013,4ada96c9c603c5fd7860c25540acb1e828ac8cd5850060e52659f70b8675298a,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000039,39,F3ADP000019,PRIMARY,F3AE000001,F3AV000019,F3AC019,WSp1,P00,0,M2,bpow_const,F3APAY000013,4ada96c9c603c5fd7860c25540acb1e828ac8cd5850060e52659f70b8675298a,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000040,40,F3ADP000020,PRIMARY,F3AE000001,F3AV000020,F3AC020,WSp1,P01,0,M0,pow_const,F3APAY000014,3a4a7fafc92843d974ceaaf5e8d2edd306eb84293d0aad385c9b8da456c19475,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000041,41,F3ADP000020,PRIMARY,F3AE000001,F3AV000020,F3AC020,WSp1,P01,0,M1,pow_const_gauss,F3APAY000014,3a4a7fafc92843d974ceaaf5e8d2edd306eb84293d0aad385c9b8da456c19475,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000042,42,F3ADP000020,PRIMARY,F3AE000001,F3AV000020,F3AC020,WSp1,P01,0,M2,bpow_const,F3APAY000014,3a4a7fafc92843d974ceaaf5e8d2edd306eb84293d0aad385c9b8da456c19475,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000043,43,F3ADP000023,PRIMARY,F3AE000001,F3AV000023,F3AC023,WSp1,P04,0,M0,pow_const,F3APAY000015,e838539aa91b621536c13c4dfc6ea86e5593c8a7426a5e7e9835261420dd7529,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000044,44,F3ADP000023,PRIMARY,F3AE000001,F3AV000023,F3AC023,WSp1,P04,0,M1,pow_const_gauss,F3APAY000015,e838539aa91b621536c13c4dfc6ea86e5593c8a7426a5e7e9835261420dd7529,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
