planned_decision_id,decision_order,decision_class,phase3a_event_id,pair_id,observational_reference_role,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,payload_id,payload_logical_sha256,input_n_samples,bic_m0,bic_m1,bic_m2,delta_bic_0_1,delta_bic_2_1,qpp_selected,formal_m1_period_s,period_label,decision_status
F3ADP000079,45,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000079,F3AC001,W00,P00,0,F3APAY000045,55b948e36dc833207dac681f397fa50a0ca6009e9432fb5c6cb0dbbeab819b96,28,-27.87827078237695,-21.96503434924864,-24.145936299401356,-5.913236433128311,-2.180901950152716,false,238.2483661172437,formal_m1_center_not_selected,VALID
F3ADP000080,46,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000080,F3AC002,W00,P01,0,F3APAY000046,0efee212e6982aa92555e1841b4161ee72ab0053d618383b09b7c9e3bf5ba98f,28,-27.746689627548193,-21.786128677359294,-23.994219545290335,-5.960560950188899,-2.208090867931041,false,232.60967766599663,formal_m1_center_not_selected,VALID
F3ADP000083,47,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000083,F3AC005,W00,P04,0,F3APAY000047,ad59132685ea2649a296b59fcb8a65bf3bc4b2ef14f402d15acb380e6d6919fe,28,-14.73420603555634,-8.73332263473491,-10.910428908236463,-6.000883400821431,-2.177106273501554,false,236.84198723616308,formal_m1_center_not_selected,VALID
F3ADP000084,48,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000084,F3AC006,W00,P05,0,F3APAY000048,3a7d8b5506be970f1f5e125693f96d618ee916b3ff87893e334cfbc849792bde,28,-14.654337382693441,-8.602551054816567,-9.77794086819822,-6.051786327876874,-1.1753898133816527,false,231.62082293139684,formal_m1_center_not_selected,VALID
F3ADP000085,49,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000085,F3AC007,WSm2,P00,0,F3APAY000049,387742e67a3955bb48b44123b5fd35a6e33b42e503d4e9ec829b48f963e5323b,30,-33.53749693373924,-28.317266864121677,-28.78132885215617,-5.220230069617564,-0.4640619880344943,false,253.49742737670613,formal_m1_center_not_selected,VALID
F3ADP000086,50,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000086,F3AC008,WSm2,P01,0,F3APAY000050,c861108f1dd83d91ff64834356f3cca8a952498fbe4c6b612552c18a0b9b0dc6,30,-33.390471761057654,-28.115167466378466,-30.339774098640177,-5.275304294679188,-2.224606632261711,false,248.14405097992676,formal_m1_center_not_selected,VALID
F3ADP000089,51,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000089,F3AC011,WSm2,P04,0,F3APAY000051,53d13c3b97db0171f3dc7176c5664fca81a9cd5650657efc6305889700812632,30,-29.200741139096998,-23.920137181422234,-26.128776561160763,-5.280603957674764,-2.2086393797385284,false,248.55535732584238,formal_m1_center_not_selected,VALID
F3ADP000090,52,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000090,F3AC012,WSm2,P05,0,F3APAY000052,17ec90eb3f5117fc770114bf62a8a005c2edc465d15aae6bb09e77497809cc38,30,-29.086242970177558,-23.74922182455044,-24.254268234982405,-5.337021145627119,-0.5050464104319659,false,249.16052346418869,formal_m1_center_not_selected,VALID
F3ADP000091,53,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000091,F3AC013,WSm1,P00,0,F3APAY000053,a12d20b2a8ee50ecbc24ddaa3a0127cf8d69ef5b20bb10e3abd23e893980584d,29,-33.23250644380966,-27.538462148380177,-29.851880013945944,-5.694044295429485,-2.313417865565768,false,246.6312093939567,formal_m1_center_not_selected,VALID
F3ADP000092,54,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000092,F3AC014,WSm1,P01,0,F3APAY000054,ccdc201857be6060679791c522ecb4baf521a2ef5691e7b60c666e0a2630fca6,29,-33.06566880538024,-27.315578013459984,-29.6435514977029,-5.7500907919202575,-2.327973484242918,false,239.97469573081574,formal_m1_center_not_selected,VALID
