phase3a_event_id,pair_id,observational_reference_role,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,materialization_status,inadmissibility_reason,baseline_gate_state,baseline_qpp_selected,variant_decision_available,variant_qpp_selected,transition_eligible,classification_transition,classification_concordant_with_baseline,formal_m1_period_s,period_role
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007010,F3AC068,WX2,P01,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,42.218201968395945,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007011,F3AC069,WX2,P02,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007012,F3AC070,WX2,P03,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,42.218201968395945,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007013,F3AC071,WX2,P04,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007014,F3AC072,WX2,P05,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,42.19210925863987,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007015,F3AC073,WC2,P00,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007016,F3AC074,WC2,P01,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,42.53453891502329,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007017,F3AC075,WC2,P02,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007018,F3AC076,WC2,P03,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,42.53453891502329,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007019,F3AC077,WC2,P04,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007020,F3AC078,WC2,P05,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,42.38418112384863,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007021,F3AC001,W00,P00,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.29550982841826,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007022,F3AC002,W00,P01,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.3846780612376,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007023,F3AC003,W00,P02,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.29550982841826,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007024,F3AC004,W00,P03,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.3846780612376,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007025,F3AC005,W00,P04,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.15618124795417,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007026,F3AC006,W00,P05,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.27056374353438,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007027,F3AC007,WSm2,P00,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.25368142791817,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007028,F3AC008,WSm2,P01,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.20620143918254,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007029,F3AC009,WSm2,P02,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.25368142791817,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007030,F3AC010,WSm2,P03,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.20620143918254,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007031,F3AC011,WSm2,P04,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.12554414266671,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007032,F3AC012,WSm2,P05,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.09909878151728,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007033,F3AC013,WSm1,P00,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.26608462262075,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007034,F3AC014,WSm1,P01,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.30425639565033,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007035,F3AC015,WSm1,P02,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.26608462262075,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007036,F3AC016,WSm1,P03,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.30425639565033,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007037,F3AC017,WSm1,P04,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.11075102160149,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007038,F3AC018,WSm1,P05,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.17992155526541,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007039,F3AC019,WSp1,P00,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.18824835317658,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007040,F3AC020,WSp1,P01,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.3653584482469,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007041,F3AC021,WSp1,P02,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.18824835317658,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007042,F3AC022,WSp1,P03,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.3653584482469,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007043,F3AC023,WSp1,P04,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.03827719601681,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007044,F3AC024,WSp1,P05,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.25213228635234,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007045,F3AC025,WSp2,P00,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.0776740326321,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007046,F3AC026,WSp2,P01,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.32332947163373,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007047,F3AC027,WSp2,P02,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.0776740326321,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007048,F3AC028,WSp2,P03,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.32332947163373,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007049,F3AC029,WSp2,P04,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,71.94516792581166,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007050,F3AC030,WSp2,P05,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.21953339817435,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007051,F3AC031,WEm2,P00,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.70577090280177,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007052,F3AC032,WEm2,P01,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.53944680406705,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007053,F3AC033,WEm2,P02,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.70577090280177,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007054,F3AC034,WEm2,P03,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.53944680406705,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007055,F3AC035,WEm2,P04,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.59033203149373,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007056,F3AC036,WEm2,P05,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.44560931333997,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007057,F3AC037,WEm1,P00,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.43177373920616,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007058,F3AC038,WEm1,P01,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.42396290441721,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007059,F3AC039,WEm1,P02,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.43177373920616,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007060,F3AC040,WEm1,P03,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.42396290441721,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007061,F3AC041,WEm1,P04,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.28718410471913,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007062,F3AC042,WEm1,P05,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.31415082974003,formal_m1_center_not_selected
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,F3AV007063,F3AC043,WEp1,P00,ELIGIBLE_FOR_AFINO,,REFERENCE_BASELINE_MISMATCH,false,true,false,false,,,72.0714178345262,formal_m1_center_not_selected
