canary_decision_order,planned_decision_id,decision_order,decision_class,simulation_unit_id,background_realization_id,external_optimizer_seed,payload_logical_sha256,input_state,execution_status
84,F3B2D003654,3654,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A0_Q004_R054:POS:PRIMARY,F3BBG_N015_A0_Q004_R054,9,50d36135e27da9eaa81ea5ac93ca0a858abab9a357b947a771a5eed828da35c6,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
85,F3B2D003655,3655,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A1_Q001_R004:NULL:PRIMARY,F3BBG_N015_A1_Q001_R004,1,fea2cef8766cee456900b0cbac704185489a29b23e72aaf69b6d8bf06fdc4b69,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
86,F3B2D003663,3663,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A1_Q001_R004:NULL:PRIMARY,F3BBG_N015_A1_Q001_R004,9,fea2cef8766cee456900b0cbac704185489a29b23e72aaf69b6d8bf06fdc4b69,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
87,F3B2D003664,3664,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A1_Q001_R004:POS:PRIMARY,F3BBG_N015_A1_Q001_R004,1,8e3f393b578121759d5afb26822d96b4ab0ad8d9160e526563ba5023907181b0,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
88,F3B2D003672,3672,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A1_Q001_R004:POS:PRIMARY,F3BBG_N015_A1_Q001_R004,9,8e3f393b578121759d5afb26822d96b4ab0ad8d9160e526563ba5023907181b0,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
89,F3B2D003673,3673,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A1_Q002_R054:NULL:PRIMARY,F3BBG_N015_A1_Q002_R054,1,a1b260825e9d9fcb2e16851913aca0c5c5be614130f25d963a73ef6c9e74180f,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
90,F3B2D003681,3681,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A1_Q002_R054:NULL:PRIMARY,F3BBG_N015_A1_Q002_R054,9,a1b260825e9d9fcb2e16851913aca0c5c5be614130f25d963a73ef6c9e74180f,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
91,F3B2D003682,3682,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A1_Q002_R054:POS:PRIMARY,F3BBG_N015_A1_Q002_R054,1,d7f1fd2856a233a766389e4e3483b302430004adba3f45b836bda33c85d995ee,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
92,F3B2D003690,3690,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A1_Q002_R054:POS:PRIMARY,F3BBG_N015_A1_Q002_R054,9,d7f1fd2856a233a766389e4e3483b302430004adba3f45b836bda33c85d995ee,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
93,F3B2D003691,3691,NUMERICAL_STABILITY_EXTRA,F3BBG_N015_A1_Q004_R035:NULL:PRIMARY,F3BBG_N015_A1_Q004_R035,1,8269842f9d23399231e43635fc7d6679446a2dc37640177a37746bce84c49c45,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
