canary_decision_order,planned_decision_id,decision_order,decision_class,simulation_unit_id,background_realization_id,external_optimizer_seed,payload_logical_sha256,input_state,execution_status
31,F3B2D001533,1533,BASELINE,F3BBG_N030_A2_Q001_R040:NULL:PRIMARY,F3BBG_N030_A2_Q001_R040,0,d48374fc757b3a4a5e163d3a312b0bfd91fa33bfb89596c71f67856d13e44cbc,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
32,F3B2D001534,1534,BASELINE,F3BBG_N030_A2_Q001_R040:POS:PRIMARY,F3BBG_N030_A2_Q001_R040,0,14dafaa5d07b804de05ff3b216cc0059b1ff7847c30046800673f3e311f272ba,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
33,F3B2D001613,1613,BASELINE,F3BBG_N030_A2_Q002_R014:NULL:PRIMARY,F3BBG_N030_A2_Q002_R014,0,1c28d0ca19176052633c99a098e5e0fbf4db00a30f059f5918c4b394ab852568,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
34,F3B2D001614,1614,BASELINE,F3BBG_N030_A2_Q002_R014:POS:PRIMARY,F3BBG_N030_A2_Q002_R014,0,9cb44788602cbe8cf94855a48f7c98263ca496fcd78a14291399dac6ba30a194,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
35,F3B2D001773,1773,BASELINE,F3BBG_N030_A2_Q004_R065:NULL:PRIMARY,F3BBG_N030_A2_Q004_R065,0,997fde4a1481940bce5f2fe65f33854d8647e8727bfb105b0a075df0f5659838,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
36,F3B2D001774,1774,BASELINE,F3BBG_N030_A2_Q004_R065:POS:PRIMARY,F3BBG_N030_A2_Q004_R065,0,dc8a2d1f0f1c45536f166f88ca856260ee44d08fae83b88322476ffe2b84379c,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
37,F3B2D001823,1823,BASELINE,F3BBG_N060_A0_Q001_R024:NULL:PRIMARY,F3BBG_N060_A0_Q001_R024,0,6c1be9952eb5bf9fabc9861da6d3e9368388c0eb303e67d967bda6a834456829,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
38,F3B2D001824,1824,BASELINE,F3BBG_N060_A0_Q001_R024:POS:PRIMARY,F3BBG_N060_A0_Q001_R024,0,3e5ce767f5819b442d4e638e066cb924c71d3c9e8fc3aa2b41304f51fdf7c910,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
39,F3B2D001917,1917,BASELINE,F3BBG_N060_A0_Q002_R021:NULL:PRIMARY,F3BBG_N060_A0_Q002_R021,0,f529a0ceeabd43bbafc870f9377ad3daf996f7b190ae05ed54dce184bf4de262,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
40,F3B2D001918,1918,BASELINE,F3BBG_N060_A0_Q002_R021:POS:PRIMARY,F3BBG_N060_A0_Q002_R021,0,7e38763324d28cbdc896c1783370e54d6878871e713f26d9888f95170a9e1d27,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
