planned_decision_id,decision_order,decision_class,simulation_unit_id,background_realization_id,truth_state,external_optimizer_seed,payload_logical_sha256,input_state,gap_quality_regime,planned_model_calls,execution_status
F3B2D000475,475,BASELINE,F3BBG_N015_A1_Q002_R079:NULL:PRIMARY,F3BBG_N015_A1_Q002_R079,SYNTHETIC_QPP_ABSENT,0,6c0d941e9d6bd27324a8f6c721c85c6c81e74b2740266135b485a2a95ebd664c,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000476,476,BASELINE,F3BBG_N015_A1_Q002_R079:POS:PRIMARY,F3BBG_N015_A1_Q002_R079,SYNTHETIC_QPP_PRESENT,0,a44bad4cbef8959a8d9bccabac882ef021ed93cdda7caf65a297c67559b5e5d0,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000477,477,BASELINE,F3BBG_N015_A1_Q002_R080:NULL:PRIMARY,F3BBG_N015_A1_Q002_R080,SYNTHETIC_QPP_ABSENT,0,c79315f520d5f1037dc46a924b168fbf9d3481e2611914a8ea1cd60130d677ec,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000478,478,BASELINE,F3BBG_N015_A1_Q002_R080:POS:PRIMARY,F3BBG_N015_A1_Q002_R080,SYNTHETIC_QPP_PRESENT,0,d2945650ddcf078b04956b2517acb75288e8b2a439c199a408bce95f865a1403,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000479,479,BASELINE,F3BBG_N015_A1_Q002_R081:NULL:PRIMARY,F3BBG_N015_A1_Q002_R081,SYNTHETIC_QPP_ABSENT,0,c0c5da6c6a80564d12df61e7ba721ebaab0da5754fb03b5273124dbedd4149ae,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000480,480,BASELINE,F3BBG_N015_A1_Q002_R081:POS:PRIMARY,F3BBG_N015_A1_Q002_R081,SYNTHETIC_QPP_PRESENT,0,16e6ca58d96af226dc6cf4f3d4b316707e22a0baebc35ded76bf3a25f532141b,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000481,481,BASELINE,F3BBG_N015_A1_Q002_R082:NULL:PRIMARY,F3BBG_N015_A1_Q002_R082,SYNTHETIC_QPP_ABSENT,0,de6dde09d63d9d310cd041719ff8c2bd139f0bca780b1cb122ad1439c310fcbc,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000482,482,BASELINE,F3BBG_N015_A1_Q002_R082:POS:PRIMARY,F3BBG_N015_A1_Q002_R082,SYNTHETIC_QPP_PRESENT,0,15c2e2b5ff6393225329cbb853c8587f66136367ec0fc83903d56a33f954bd06,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000483,483,BASELINE,F3BBG_N015_A1_Q002_R083:NULL:PRIMARY,F3BBG_N015_A1_Q002_R083,SYNTHETIC_QPP_ABSENT,0,cebe32a5f613ff3c6940a7cb117095510b5500ba5bdf4d76b2e7b0d7937db124,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000484,484,BASELINE,F3BBG_N015_A1_Q002_R083:POS:PRIMARY,F3BBG_N015_A1_Q002_R083,SYNTHETIC_QPP_PRESENT,0,5fdc9a9891fcf6753380adb952f85a54a3c336adf3764b4c7b6c1893bb425674,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000485,485,BASELINE,F3BBG_N015_A1_Q002_R084:NULL:PRIMARY,F3BBG_N015_A1_Q002_R084,SYNTHETIC_QPP_ABSENT,0,eba51e4623e1dc91ddfe18de4d1b7871f85b845ed9587dbf170f13ed08699a9f,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000486,486,BASELINE,F3BBG_N015_A1_Q002_R084:POS:PRIMARY,F3BBG_N015_A1_Q002_R084,SYNTHETIC_QPP_PRESENT,0,dfb02c6b474567222f3bef274dfe3ddac798ff173804d029af0432462c83fd44,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000487,487,BASELINE,F3BBG_N015_A1_Q002_R085:NULL:PRIMARY,F3BBG_N015_A1_Q002_R085,SYNTHETIC_QPP_ABSENT,0,35244e185f2ebc973e3715029e84df5fcb09a210a2710d73e7e3c76cd4a798c3,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000488,488,BASELINE,F3BBG_N015_A1_Q002_R085:POS:PRIMARY,F3BBG_N015_A1_Q002_R085,SYNTHETIC_QPP_PRESENT,0,dc89253dd3ee21145140880005e2eff3b61b5115ac5a1c64f350e3f68cce38ab,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000489,489,BASELINE,F3BBG_N015_A1_Q002_R087:NULL:PRIMARY,F3BBG_N015_A1_Q002_R087,SYNTHETIC_QPP_ABSENT,0,e5b2ad602997057b7076d43cfe1305b2c56b5612e7f5b7f6d43031a16cfcd0d6,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000490,490,BASELINE,F3BBG_N015_A1_Q002_R087:POS:PRIMARY,F3BBG_N015_A1_Q002_R087,SYNTHETIC_QPP_PRESENT,0,49b5881e39a9554956a1311f5a039f918b3a785cde6c5658068216f670008f1b,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000491,491,BASELINE,F3BBG_N015_A1_Q002_R089:NULL:PRIMARY,F3BBG_N015_A1_Q002_R089,SYNTHETIC_QPP_ABSENT,0,a835f81bab3c66cbec97ee1e161cc6229aec6113fb93aa86ea387fd5fd72735e,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000492,492,BASELINE,F3BBG_N015_A1_Q002_R089:POS:PRIMARY,F3BBG_N015_A1_Q002_R089,SYNTHETIC_QPP_PRESENT,0,6ee209ece178e7433dcffb9df58b1be971c1dbe7fde2b71bbb0e35e694d4da33,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000493,493,BASELINE,F3BBG_N015_A1_Q002_R092:NULL:PRIMARY,F3BBG_N015_A1_Q002_R092,SYNTHETIC_QPP_ABSENT,0,29ebedd8127431f9bf6ada61ddff860f87d104fef8849cc1cefe7796a7ff2a4f,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000494,494,BASELINE,F3BBG_N015_A1_Q002_R092:POS:PRIMARY,F3BBG_N015_A1_Q002_R092,SYNTHETIC_QPP_PRESENT,0,955f59f51570c76e6c44d5cdd8d1c55e792d53b2fe366a15a4e33b7dadb4f53b,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000495,495,BASELINE,F3BBG_N015_A1_Q002_R093:NULL:PRIMARY,F3BBG_N015_A1_Q002_R093,SYNTHETIC_QPP_ABSENT,0,61d42d7a230774afd51ce4f2275b78a41f0bc4cff253792d167ac19dce798a19,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000496,496,BASELINE,F3BBG_N015_A1_Q002_R093:POS:PRIMARY,F3BBG_N015_A1_Q002_R093,SYNTHETIC_QPP_PRESENT,0,8c1cdcece7dcb6f3c19041bc0906aa955b7d6a9efbcc3f8de83cc4faec096f94,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000497,497,BASELINE,F3BBG_N015_A1_Q002_R096:NULL:PRIMARY,F3BBG_N015_A1_Q002_R096,SYNTHETIC_QPP_ABSENT,0,be825773b906e46b3c0d30b4e9ceb0654ca37d12a9cc382052305fda34fb593f,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000498,498,BASELINE,F3BBG_N015_A1_Q002_R096:POS:PRIMARY,F3BBG_N015_A1_Q002_R096,SYNTHETIC_QPP_PRESENT,0,9bbd3c0ff3bcfebd0b7c5b00695d0934005fa27bf71df4ebb7b649082175dbf1,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000499,499,BASELINE,F3BBG_N015_A1_Q002_R099:NULL:PRIMARY,F3BBG_N015_A1_Q002_R099,SYNTHETIC_QPP_ABSENT,0,7d4395a261061ce1141d84e337cc3821a17bdc6bec5086449e4f9e6e0763b2bd,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
