simulation_unit_id,planned_decision_id,background_realization_id,truth_state,qpp_selected,delta_bic_0_1,delta_bic_2_1,baseline_threshold_01,baseline_threshold_21,baseline_comparison,baseline_selected_recomputed,baseline_rule_agreement,classification_outcome,input_state,n_samples,red_noise_alpha,qpp_fraction,true_period_s,truth_usage,evaluation_scope
F3BBG_N060_A1_Q002_R028:NULL:PRIMARY,F3B5_HO_D2223,F3BBG_N060_A1_Q002_R028,SYNTHETIC_QPP_ABSENT,False,-9.028356559418597,-2.8700730614316967,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q002_R028:POS:PRIMARY,F3B5_HO_D2224,F3BBG_N060_A1_Q002_R028,SYNTHETIC_QPP_PRESENT,False,1.5624141235648494,6.121688766992094,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.02,40.82254932517101,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q002_R031:NULL:PRIMARY,F3B5_HO_D2225,F3BBG_N060_A1_Q002_R031,SYNTHETIC_QPP_ABSENT,False,-8.643307127738694,-2.212937648814801,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q002_R031:POS:PRIMARY,F3B5_HO_D2226,F3BBG_N060_A1_Q002_R031,SYNTHETIC_QPP_PRESENT,False,-8.668353246140441,-2.1909693994432473,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.02,147.84396498281293,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q002_R032:NULL:PRIMARY,F3B5_HO_D2227,F3BBG_N060_A1_Q002_R032,SYNTHETIC_QPP_ABSENT,False,-9.51213451008428,-2.9780111202025807,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q002_R032:POS:PRIMARY,F3B5_HO_D2228,F3BBG_N060_A1_Q002_R032,SYNTHETIC_QPP_PRESENT,False,-9.482310985171864,-3.020667994090701,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.02,248.87028497622154,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q002_R033:NULL:PRIMARY,F3B5_HO_D2229,F3BBG_N060_A1_Q002_R033,SYNTHETIC_QPP_ABSENT,False,-9.603358035007176,-3.010825244940861,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q002_R033:POS:PRIMARY,F3B5_HO_D2230,F3BBG_N060_A1_Q002_R033,SYNTHETIC_QPP_PRESENT,False,-8.960639518869328,-2.8556367372360683,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.02,136.10646975474125,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q002_R038:NULL:PRIMARY,F3B5_HO_D2231,F3BBG_N060_A1_Q002_R038,SYNTHETIC_QPP_ABSENT,False,-9.634777843222253,-3.062905634621046,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q002_R038:POS:PRIMARY,F3B5_HO_D2232,F3BBG_N060_A1_Q002_R038,SYNTHETIC_QPP_PRESENT,False,-9.757513924996061,-3.304900704559003,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.02,177.3589517995987,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q002_R040:NULL:PRIMARY,F3B5_HO_D2233,F3BBG_N060_A1_Q002_R040,SYNTHETIC_QPP_ABSENT,False,-9.447745681941342,-2.915359004443417,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q002_R040:POS:PRIMARY,F3B5_HO_D2234,F3BBG_N060_A1_Q002_R040,SYNTHETIC_QPP_PRESENT,False,-1.0927869653303048,4.802141589768667,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.02,40.605203190902344,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q002_R041:NULL:PRIMARY,F3B5_HO_D2235,F3BBG_N060_A1_Q002_R041,SYNTHETIC_QPP_ABSENT,False,-9.798421582632471,-3.2655255255197915,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q002_R041:POS:PRIMARY,F3B5_HO_D2236,F3BBG_N060_A1_Q002_R041,SYNTHETIC_QPP_PRESENT,False,-9.651267888834383,-3.3542499046581895,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.02,227.93553980093034,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q002_R043:NULL:PRIMARY,F3B5_HO_D2237,F3BBG_N060_A1_Q002_R043,SYNTHETIC_QPP_ABSENT,False,-9.113899575145183,-2.534308841875628,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q002_R043:POS:PRIMARY,F3B5_HO_D2238,F3BBG_N060_A1_Q002_R043,SYNTHETIC_QPP_PRESENT,False,-8.583196722552714,-2.015352813636298,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.02,114.03643922402989,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q002_R046:NULL:PRIMARY,F3B5_HO_D2239,F3BBG_N060_A1_Q002_R046,SYNTHETIC_QPP_ABSENT,False,-9.255133100213186,-2.766346462263755,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q002_R046:POS:PRIMARY,F3B5_HO_D2240,F3BBG_N060_A1_Q002_R046,SYNTHETIC_QPP_PRESENT,False,-5.703944856954962,0.6966687232668392,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.02,65.84637961043961,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q002_R047:NULL:PRIMARY,F3B5_HO_D2241,F3BBG_N060_A1_Q002_R047,SYNTHETIC_QPP_ABSENT,False,-8.317645483752102,-1.9494735734895983,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
