simulation_unit_id,background_realization_id,truth_state,evidence_plane,gap_quality_regime,input_state,materialization_status,classifier_decision_expected,classifier_decision_present,planned_decision_id,decision_status,qpp_selected,truth_join_status
F3BBG_N015_A0_Q001_R046:POS:INTERNALMASK,F3BBG_N015_A0_Q001_R046,SYNTHETIC_QPP_PRESENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,INPUT_INADMISSIBLE,MATERIALIZED,False,False,,,,AUDITED_NONCLASSIFIER_CHALLENGE
F3BBG_N015_A0_Q001_R046:POS:PEAKMASK,F3BBG_N015_A0_Q001_R046,SYNTHETIC_QPP_PRESENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,INPUT_INADMISSIBLE,MATERIALIZED,False,False,,,,AUDITED_NONCLASSIFIER_CHALLENGE
F3BBG_N015_A0_Q001_R046:POS:PRIMARY,F3BBG_N015_A0_Q001_R046,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0048,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R048:NULL:PRIMARY,F3BBG_N015_A0_Q001_R048,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0049,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R048:POS:PRIMARY,F3BBG_N015_A0_Q001_R048,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0050,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R049:NULL:PRIMARY,F3BBG_N015_A0_Q001_R049,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0051,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R049:POS:PRIMARY,F3BBG_N015_A0_Q001_R049,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0052,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R050:NULL:PRIMARY,F3BBG_N015_A0_Q001_R050,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0053,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R050:POS:PRIMARY,F3BBG_N015_A0_Q001_R050,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0054,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R051:NULL:PRIMARY,F3BBG_N015_A0_Q001_R051,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0055,VALID,False,JOINED_PRIMARY
