replicate_index,strata_count,sampled_background_draws,positive_denominator,null_denominator,draw_indices_sha256,baseline_TP,baseline_FN,baseline_TN,baseline_FP,candidate_TP,candidate_FN,candidate_TN,candidate_FP,baseline_sensitivity,candidate_sensitivity,candidate_minus_baseline_sensitivity,baseline_specificity,candidate_specificity,candidate_minus_baseline_specificity,baseline_FPR,candidate_FPR,candidate_minus_baseline_FPR,baseline_balanced_accuracy,candidate_balanced_accuracy,candidate_minus_baseline_balanced_accuracy
42,36,1800,1800,1800,7e362f6e6207cdc5b6519f6be287ec3a6168b153bf3d1f7a69b285adacb125b2,147,1653,1798,2,1174,626,1103,697,0.08166666666666667,0.6522222222222223,0.5705555555555556,0.9988888888888889,0.6127777777777778,-0.3861111111111112,0.0011111111111111111,0.38722222222222225,0.3861111111111111,0.5402777777777779,0.6325000000000001,0.0922222222222222
43,36,1800,1800,1800,7518e1ee620692269e89430226b516c3e286e589f9997f7c95cec870aca0a027,131,1669,1800,0,1199,601,1110,690,0.07277777777777777,0.6661111111111111,0.5933333333333333,1.0,0.6166666666666667,-0.3833333333333333,0.0,0.38333333333333336,0.38333333333333336,0.5363888888888889,0.6413888888888889,0.10499999999999998
44,36,1800,1800,1800,47438cb60833609bdd5679822b76b1f0c8e71c685ca76e21a0dd5c8f0c5080a3,140,1660,1800,0,1188,612,1102,698,0.07777777777777778,0.66,0.5822222222222222,1.0,0.6122222222222222,-0.3877777777777778,0.0,0.3877777777777778,0.3877777777777778,0.5388888888888889,0.6361111111111111,0.09722222222222221
45,36,1800,1800,1800,49aa452b98890e01a4f410d4cf98299f40895231753ce04a502983df92804328,135,1665,1799,1,1140,660,1133,667,0.075,0.6333333333333333,0.5583333333333333,0.9994444444444445,0.6294444444444445,-0.37,0.0005555555555555556,0.3705555555555556,0.37000000000000005,0.5372222222222223,0.6313888888888889,0.09416666666666662
46,36,1800,1800,1800,2422518f99808ac4894e193d48bf43f5fa475a7439913921b453c89ddbf98ded,152,1648,1797,3,1197,603,1104,696,0.08444444444444445,0.665,0.5805555555555556,0.9983333333333333,0.6133333333333333,-0.385,0.0016666666666666668,0.38666666666666666,0.385,0.5413888888888889,0.6391666666666667,0.09777777777777774
47,36,1800,1800,1800,a4e410bf3fc65d4fbe89a54dbd4b62e253f86e864397d758606569e72b4b2719,146,1654,1800,0,1166,634,1126,674,0.0811111111111111,0.6477777777777778,0.5666666666666667,1.0,0.6255555555555555,-0.37444444444444447,0.0,0.37444444444444447,0.37444444444444447,0.5405555555555556,0.6366666666666667,0.09611111111111115
48,36,1800,1800,1800,18698a50490c34adfed9dd446f404e2f43e6d874a296bd8673c9c52789fa731a,142,1658,1800,0,1159,641,1129,671,0.07888888888888888,0.6438888888888888,0.565,1.0,0.6272222222222222,-0.37277777777777776,0.0,0.37277777777777776,0.37277777777777776,0.5394444444444444,0.6355555555555555,0.09611111111111115
49,36,1800,1800,1800,92635487cb3f52504e2d8d4f602a8d9cd9db732ebcd246064cf4b0a4cced04ab,162,1638,1800,0,1182,618,1113,687,0.09,0.6566666666666666,0.5666666666666667,1.0,0.6183333333333333,-0.3816666666666667,0.0,0.38166666666666665,0.38166666666666665,0.545,0.6375,0.09249999999999992
50,36,1800,1800,1800,13d518ac2740b4bada03460e01d630ceb35bcc9c76d49b5958e7e72211dc1cf6,148,1652,1799,1,1179,621,1122,678,0.08222222222222222,0.655,0.5727777777777778,0.9994444444444445,0.6233333333333333,-0.3761111111111112,0.0005555555555555556,0.37666666666666665,0.3761111111111111,0.5408333333333334,0.6391666666666667,0.09833333333333327
51,36,1800,1800,1800,1a144267050b7356703e1ff205a485a3b26f5e2a8443935f92df383a71792388,135,1665,1800,0,1166,634,1126,674,0.075,0.6477777777777778,0.5727777777777778,1.0,0.6255555555555555,-0.37444444444444447,0.0,0.37444444444444447,0.37444444444444447,0.5375,0.6366666666666667,0.09916666666666674
52,36,1800,1800,1800,a32e2e7e274fce3f86318c8e06f891902e8becf909f16600a9502204874d2794,136,1664,1800,0,1164,636,1119,681,0.07555555555555556,0.6466666666666666,0.571111111111111,1.0,0.6216666666666667,-0.3783333333333333,0.0,0.37833333333333335,0.37833333333333335,0.5377777777777778,0.6341666666666667,0.09638888888888886
53,36,1800,1800,1800,5eaafadaea19ab04f123750c4d1b7e367f61cfdcb0cfa6531f894b8e285b5f07,139,1661,1798,2,1191,609,1101,699,0.07722222222222222,0.6616666666666666,0.5844444444444444,0.9988888888888889,0.6116666666666667,-0.38722222222222225,0.0011111111111111111,0.3883333333333333,0.3872222222222222,0.5380555555555556,0.6366666666666667,0.0986111111111111
54,36,1800,1800,1800,94ba71ea6bdd54f27ee6422f558a68d456af48361cb9256e50ec1d68320a400b,149,1651,1800,0,1156,644,1117,683,0.08277777777777778,0.6422222222222222,0.5594444444444444,1.0,0.6205555555555555,-0.3794444444444445,0.0,0.3794444444444444,0.3794444444444444,0.5413888888888889,0.6313888888888889,0.08999999999999997
55,36,1800,1800,1800,d4eb2b5c14fc2c902665a59613b0f7c5f978b511ee878291b60141715bb82446,134,1666,1798,2,1169,631,1100,700,0.07444444444444444,0.6494444444444445,0.5750000000000001,0.9988888888888889,0.6111111111111112,-0.3877777777777778,0.0011111111111111111,0.3888888888888889,0.3877777777777778,0.5366666666666667,0.6302777777777778,0.09361111111111109
56,36,1800,1800,1800,503d1ad54f040e6324390641ae2cc714b6f9ba8a38700287f2443ae2ea486caa,163,1637,1800,0,1175,625,1113,687,0.09055555555555556,0.6527777777777778,0.5622222222222222,1.0,0.6183333333333333,-0.3816666666666667,0.0,0.38166666666666665,0.38166666666666665,0.5452777777777778,0.6355555555555555,0.09027777777777779
57,36,1800,1800,1800,218820bcf63cbe99f82f2c6088faccc600b427e0c5bcdef70b0654cbe2f8098d,141,1659,1800,0,1179,621,1100,700,0.07833333333333334,0.655,0.5766666666666667,1.0,0.6111111111111112,-0.38888888888888884,0.0,0.3888888888888889,0.3888888888888889,0.5391666666666667,0.6330555555555556,0.09388888888888891
58,36,1800,1800,1800,db3559db16d89ff286c49df90ee58f00a8278cde30c2a02319e43321f61f2a67,156,1644,1800,0,1177,623,1104,696,0.08666666666666667,0.6538888888888889,0.5672222222222222,1.0,0.6133333333333333,-0.3866666666666667,0.0,0.38666666666666666,0.38666666666666666,0.5433333333333333,0.6336111111111111,0.09027777777777779
59,36,1800,1800,1800,17b577f894b12117a1a12dd2d1b58e3ea273d33ffb677b7881ef0441e525536e,156,1644,1799,1,1191,609,1120,680,0.08666666666666667,0.6616666666666666,0.575,0.9994444444444445,0.6222222222222222,-0.37722222222222224,0.0005555555555555556,0.37777777777777777,0.37722222222222224,0.5430555555555556,0.6419444444444444,0.0988888888888888
