simulation_unit_id,background_realization_id,seed_count,seed0_selected,selected_seed_count,classification_state_set,discordant_vs_seed0_count,discordant_vs_seed0_fraction,bic_m0_range,bic_m1_range,bic_m2_range,delta01_range,delta21_range,formal_m1_center_range,formal_m1_period_range_s_when_defined,unique_parameter_payloads_m0,unique_parameter_payloads_m1,unique_parameter_payloads_m2,warning_calls_by_model,warning_count_by_model,bound_calls_by_model,convergence_status_set
F3BBG_N060_A2_Q002_R100:NULL:PRIMARY,F3BBG_N060_A2_Q002_R100,10,false,0,NOT_SELECTED,0,0.0,3.043965079996269e-11,5.886298026780423e-08,0.3096715667532237,5.888125542696798e-08,0.3096716211945534,3.3437931472590776e-06,0.00023800083258151972,10,10,10,"{""M0"":0,""M1"":0,""M2"":5}","{""M0"":0,""M1"":0,""M2"":72}","{""M0"":0,""M1"":10,""M2"":8}",NOT_AUDITABLE
F3BBG_N060_A2_Q002_R100:POS:PRIMARY,F3BBG_N060_A2_Q002_R100,10,false,0,NOT_SELECTED,0,0.0,8.358824743481819e-11,5.97156940784771e-07,0.9766721537384058,5.972022449896031e-07,0.9766727508953466,3.469623750351758e-05,0.0029714099287474482,10,10,10,"{""M0"":0,""M1"":0,""M2"":3}","{""M0"":0,""M1"":0,""M2"":30}","{""M0"":0,""M1"":0,""M2"":9}",NOT_AUDITABLE
F3BBG_N060_A2_Q004_R005:NULL:PRIMARY,F3BBG_N060_A2_Q004_R005,10,false,0,NOT_SELECTED,0,0.0,7.909761734481435e-11,0.04237898790978534,0.0983119579615277,0.042378987936047,0.09831206726298092,0.5860904414198735,64.94674206782537,10,10,10,"{""M0"":0,""M1"":0,""M2"":5}","{""M0"":0,""M1"":0,""M2"":88}","{""M0"":0,""M1"":10,""M2"":8}",NOT_AUDITABLE
F3BBG_N060_A2_Q004_R005:POS:PRIMARY,F3BBG_N060_A2_Q004_R005,10,false,0,NOT_SELECTED,0,0.0,5.849187800777145e-11,0.0013078528155006097,0.2666635457107134,0.0013078527715890687,0.26797133480451407,0.042869482941538806,12.589073399054541,10,10,10,"{""M0"":0,""M1"":0,""M2"":5}","{""M0"":0,""M1"":0,""M2"":64}","{""M0"":0,""M1"":9,""M2"":8}",NOT_AUDITABLE
F3BBG_N120_A0_Q001_R032:NULL:PRIMARY,F3BBG_N120_A0_Q001_R032,10,false,0,NOT_SELECTED,0,0.0,6.320988177321851e-11,3.002924131578766e-09,2.4158805670164156,3.0405544748646207e-09,2.415880567038471,4.1308378584403727e-07,1.9685746472930532e-05,10,10,10,"{""M0"":0,""M1"":0,""M2"":9}","{""M0"":0,""M1"":0,""M2"":109}","{""M0"":0,""M1"":0,""M2"":1}",NOT_AUDITABLE
F3BBG_N120_A0_Q001_R032:POS:PRIMARY,F3BBG_N120_A0_Q001_R032,10,false,0,NOT_SELECTED,0,0.0,6.923528417246416e-11,2.8130125429015607e-07,0.6217882695469825,2.8133490559412166e-07,0.6217882515726387,5.589683725659711e-06,0.000467213291869939,10,10,10,"{""M0"":0,""M1"":0,""M2"":8}","{""M0"":0,""M1"":0,""M2"":112}","{""M0"":0,""M1"":10,""M2"":5}",NOT_AUDITABLE
F3BBG_N120_A0_Q002_R046:NULL:PRIMARY,F3BBG_N120_A0_Q002_R046,10,false,0,NOT_SELECTED,0,0.0,2.2282620193436742e-11,3.991431185568217e-09,2.2580623522117094e-05,3.9756287151249126e-09,2.25804095634885e-05,1.0078724059781052e-06,6.241802364570503e-05,10,10,10,"{""M0"":0,""M1"":0,""M2"":8}","{""M0"":0,""M1"":0,""M2"":121}","{""M0"":0,""M1"":10,""M2"":10}",NOT_AUDITABLE
F3BBG_N120_A0_Q002_R046:POS:PRIMARY,F3BBG_N120_A0_Q002_R046,10,true,10,SELECTED,0,0.0,1.807620719773695e-11,9.033215064846445e-09,1.837339766552759e-05,9.051291272044182e-09,1.8374304772805772e-05,1.2571605036981737e-06,8.252652891371781e-05,10,10,10,"{""M0"":0,""M1"":0,""M2"":7}","{""M0"":0,""M1"":0,""M2"":78}","{""M0"":0,""M1"":0,""M2"":10}",NOT_AUDITABLE
F3BBG_N120_A0_Q004_R082:NULL:PRIMARY,F3BBG_N120_A0_Q004_R082,10,false,0,NOT_SELECTED,0,0.0,1.2960299500264227e-11,2.5640474632382393e-08,0.1656630014978191,2.563035650382517e-08,0.16566300519843935,4.067335418689311e-06,0.00026849280804697173,10,10,10,"{""M0"":0,""M1"":0,""M2"":8}","{""M0"":0,""M1"":0,""M2"":110}","{""M0"":0,""M1"":0,""M2"":10}",NOT_AUDITABLE
F3BBG_N120_A0_Q004_R082:POS:PRIMARY,F3BBG_N120_A0_Q004_R082,10,false,0,NOT_SELECTED,0,0.0,2.830802259268239e-11,1.1118231668660883e-08,6.720606721621948,1.1119141163362656e-08,6.720606717157011,3.0968976245659974e-06,0.0005705058663636464,10,10,10,"{""M0"":0,""M1"":0,""M2"":8}","{""M0"":0,""M1"":0,""M2"":106}","{""M0"":0,""M1"":0,""M2"":0}",NOT_AUDITABLE
F3BBG_N120_A1_Q001_R024:NULL:PRIMARY,F3BBG_N120_A1_Q001_R024,10,false,0,NOT_SELECTED,0,0.0,2.4101609596982598e-11,4.8848960432223976e-09,0.002985476832918721,4.874891601502895e-09,0.002985477216043364,2.114701198152602e-06,0.00012585119020513957,10,10,10,"{""M0"":0,""M1"":0,""M2"":7}","{""M0"":0,""M1"":0,""M2"":94}","{""M0"":0,""M1"":0,""M2"":0}",NOT_AUDITABLE
F3BBG_N120_A1_Q001_R024:POS:PRIMARY,F3BBG_N120_A1_Q001_R024,10,false,0,NOT_SELECTED,0,0.0,7.526068657170981e-11,8.132587936415803e-09,0.0006578613878218675,8.097117643046658e-09,0.0006578640912948686,1.1479446948570171e-06,6.976190371688062e-05,10,10,10,"{""M0"":0,""M1"":0,""M2"":5}","{""M0"":0,""M1"":0,""M2"":58}","{""M0"":0,""M1"":0,""M2"":0}",NOT_AUDITABLE
F3BBG_N120_A1_Q002_R004:NULL:PRIMARY,F3BBG_N120_A1_Q002_R004,10,false,0,NOT_SELECTED,0,0.0,3.865352482534945e-11,9.204200068779755e-09,0.6433406343052184,9.208179108100012e-09,0.643340628236956,3.5521008143746258e-06,0.00015567507796987456,10,10,10,"{""M0"":0,""M1"":0,""M2"":8}","{""M0"":0,""M1"":0,""M2"":134}","{""M0"":0,""M1"":0,""M2"":2}",NOT_AUDITABLE
F3BBG_N120_A1_Q002_R004:POS:PRIMARY,F3BBG_N120_A1_Q002_R004,10,true,10,SELECTED,0,0.0,1.48929757415317e-11,8.02197064331267e-09,1.5310507177520094,8.035726750676986e-09,1.531050717704943,1.9951076968283132e-06,0.00010960421493422245,10,10,10,"{""M0"":0,""M1"":0,""M2"":8}","{""M0"":0,""M1"":0,""M2"":94}","{""M0"":0,""M1"":10,""M2"":9}",NOT_AUDITABLE
F3BBG_N120_A1_Q004_R058:NULL:PRIMARY,F3BBG_N120_A1_Q004_R058,10,false,0,NOT_SELECTED,0,0.0,2.6943780540023e-11,6.0514366850839e-09,0.0004637817064576666,6.05007244303124e-09,0.00046378105753319687,2.8584636262429797e-06,0.00013540713131732218,10,10,10,"{""M0"":0,""M1"":0,""M2"":9}","{""M0"":0,""M1"":0,""M2"":108}","{""M0"":0,""M1"":10,""M2"":0}",NOT_AUDITABLE
F3BBG_N120_A1_Q004_R058:POS:PRIMARY,F3BBG_N120_A1_Q004_R058,10,false,0,NOT_SELECTED,0,0.0,1.7621459846850485e-11,4.1657131077954546e-09,0.0007092143567888343,4.175376489001792e-09,0.0007092131803574375,4.092384321197073e-06,0.0008967263991337404,10,10,10,"{""M0"":0,""M1"":0,""M2"":8}","{""M0"":0,""M1"":0,""M2"":130}","{""M0"":0,""M1"":10,""M2"":0}",NOT_AUDITABLE
F3BBG_N120_A2_Q001_R048:NULL:PRIMARY,F3BBG_N120_A2_Q001_R048,10,false,0,NOT_SELECTED,0,0.0,2.6489033189136535e-11,1.6298827176797204e-08,0.446515767384426,1.6301555660902523e-08,0.4465157801806754,4.43686870355009e-06,0.00019733535570054528,10,10,10,"{""M0"":0,""M1"":0,""M2"":9}","{""M0"":0,""M1"":0,""M2"":79}","{""M0"":0,""M1"":0,""M2"":10}",NOT_AUDITABLE
F3BBG_N120_A2_Q001_R048:POS:PRIMARY,F3BBG_N120_A2_Q001_R048,10,false,0,NOT_SELECTED,0,0.0,3.871036824421026e-10,1.931948645506054e-08,1.659171860695551,1.91562321560923e-08,1.6591718726077715,2.2892619515602064e-06,0.00019423285525022038,10,10,10,"{""M0"":0,""M1"":0,""M2"":5}","{""M0"":0,""M1"":0,""M2"":47}","{""M0"":0,""M1"":10,""M2"":9}",NOT_AUDITABLE
F3BBG_N120_A2_Q002_R051:NULL:PRIMARY,F3BBG_N120_A2_Q002_R051,10,false,0,NOT_SELECTED,0,0.0,2.3646862246096134e-11,1.715692405923619e-07,0.7117057449728463,1.715724238238181e-07,0.7117057960701914,0.0,0.0,10,10,10,"{""M0"":0,""M1"":0,""M2"":10}","{""M0"":0,""M1"":0,""M2"":106}","{""M0"":0,""M1"":10,""M2"":1}",NOT_AUDITABLE
F3BBG_N120_A2_Q002_R051:POS:PRIMARY,F3BBG_N120_A2_Q002_R051,10,false,0,NOT_SELECTED,0,0.0,6.048139766789973e-11,4.2826968638109975e-09,4.4420154381441534e-06,4.327034730522428e-09,4.441958026291104e-06,3.7233226812816156e-07,5.7562649288911416e-05,10,10,10,"{""M0"":0,""M1"":0,""M2"":8}","{""M0"":0,""M1"":0,""M2"":67}","{""M0"":0,""M1"":10,""M2"":0}",NOT_AUDITABLE
F3BBG_N120_A2_Q004_R038:NULL:PRIMARY,F3BBG_N120_A2_Q004_R038,10,false,0,NOT_SELECTED,0,0.0,4.6270542952697724e-11,9.427446912013693e-08,0.42089588099406683,9.427026270714123e-08,0.42089584712505257,4.901310544314086e-05,0.0021169219724228583,10,10,10,"{""M0"":0,""M1"":0,""M2"":9}","{""M0"":0,""M1"":0,""M2"":136}","{""M0"":0,""M1"":0,""M2"":8}",NOT_AUDITABLE
F3BBG_N120_A2_Q004_R038:POS:PRIMARY,F3BBG_N120_A2_Q004_R038,10,false,0,NOT_SELECTED,0,0.0,4.445155354915187e-11,6.288360054895747e-08,8.633401193947066e-08,6.289894827204989e-08,1.490813019699999e-07,6.01541790246074e-06,0.001415513794341905,10,10,10,"{""M0"":0,""M1"":0,""M2"":9}","{""M0"":0,""M1"":0,""M2"":87}","{""M0"":0,""M1"":0,""M2"":0}",NOT_AUDITABLE
