planned_decision_id,decision_order,decision_class,simulation_unit_id,external_optimizer_seed,payload_logical_sha256,n_samples,mean_dt_external_s,median_dt_external_s,afino_dt_m0_s,afino_dt_m1_s,afino_dt_m2_s,mean_dt_match_m0,mean_dt_match_m1,mean_dt_match_m2,mean_dt_contract_match,positive_fftfreq_bin_count_external,rfftfreq_positive_bin_count_external,afino_positive_bin_count_m0,afino_positive_bin_count_m1,afino_positive_bin_count_m2,positive_fftfreq_match_m0,positive_fftfreq_match_m1,positive_fftfreq_match_m2,positive_fftfreq_contract_match,legacy_rfftfreq_match_m0,legacy_rfftfreq_match_m1,legacy_rfftfreq_match_m2
F3B5_HO_D0043,43,BASELINE,F3BBG_N015_A0_Q001_R043:NULL:PRIMARY,0,04806643e283528d1ec8958160277b6a3b6f6487efd5db71c39952ed6c1e22b5,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0044,44,BASELINE,F3BBG_N015_A0_Q001_R043:POS:PRIMARY,0,96f2616d51200864c9153e3bea8b5606a49a7c7315de4ab43ecf882839ad6759,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0045,45,BASELINE,F3BBG_N015_A0_Q001_R045:NULL:PRIMARY,0,66c3c5cf4e29c514b32a0d2555252cf3974d55ef3e6f1302312e28660497eb52,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0046,46,BASELINE,F3BBG_N015_A0_Q001_R045:POS:PRIMARY,0,33f3f1c729456ce910a02102b10461fa8069dd4fb31a2fa2ac73438356e128cd,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0047,47,BASELINE,F3BBG_N015_A0_Q001_R046:NULL:PRIMARY,0,3f3e67f0cfa598232b03d115ecaf846bc39228392d834ca6d4010c3f474b15a5,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0048,48,BASELINE,F3BBG_N015_A0_Q001_R046:POS:PRIMARY,0,19ac87493173d56cbb1795b2185d45e8cbc5f2f95b2adada799d2604083e10d2,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0049,49,BASELINE,F3BBG_N015_A0_Q001_R048:NULL:PRIMARY,0,026e14c5216bb7648c55e205e7e3682b5915304c5c578789b8db4290632729db,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0050,50,BASELINE,F3BBG_N015_A0_Q001_R048:POS:PRIMARY,0,b1f981fe0ea39ab30497a925b996cf477515d6fde6734edb222308cf2a9b5b04,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0051,51,BASELINE,F3BBG_N015_A0_Q001_R049:NULL:PRIMARY,0,dcdba2264b2acdad645f7075d00a6c521d07af0efa82b61f73919ee937daa050,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0052,52,BASELINE,F3BBG_N015_A0_Q001_R049:POS:PRIMARY,0,32c5afe0a2028063adca62743ce90f4ef14de41c6fd1a0db2bcf7251632d6b76,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
