job_id,job_order,planned_decision_id,decision_class,variant_id,event_id,pair_id,observational_role,window_variant_id,processing_profile_id,external_optimizer_seed,model_id,model_name,n_samples,payload_start_offset,payload_end_offset,input_time_sha256,input_flux_sha256,source_fits_sha256,candidate_discovery_use,canary_order
F2J001073,1073,F2D000548,primary,F2V000548,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P01,0,M1,pow_const_gauss,16,23000,23016,1b9215ab9acb5928e4ef562ecce48290b8d468ca3445482ec78a0ab934bfb642,110a3956e0b149501b2d6918aac79208a101b8093f7800454e80d5a6568a9e90,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,35
F2J001074,1074,F2D000548,primary,F2V000548,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P01,0,M2,bpow_const,16,23000,23016,1b9215ab9acb5928e4ef562ecce48290b8d468ca3445482ec78a0ab934bfb642,110a3956e0b149501b2d6918aac79208a101b8093f7800454e80d5a6568a9e90,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,36
F2J001075,1075,F2D000549,primary,F2V000549,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P02,0,M0,pow_const,16,23016,23032,1b9215ab9acb5928e4ef562ecce48290b8d468ca3445482ec78a0ab934bfb642,bb86319e862bea5faf55ec1e647160359e5b78e970b67d78d2714e21ec8c614f,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,37
F2J001076,1076,F2D000549,primary,F2V000549,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P02,0,M1,pow_const_gauss,16,23016,23032,1b9215ab9acb5928e4ef562ecce48290b8d468ca3445482ec78a0ab934bfb642,bb86319e862bea5faf55ec1e647160359e5b78e970b67d78d2714e21ec8c614f,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,38
F2J001077,1077,F2D000549,primary,F2V000549,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P02,0,M2,bpow_const,16,23016,23032,1b9215ab9acb5928e4ef562ecce48290b8d468ca3445482ec78a0ab934bfb642,bb86319e862bea5faf55ec1e647160359e5b78e970b67d78d2714e21ec8c614f,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,39
F2J001078,1078,F2D000550,primary,F2V000550,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P03,0,M0,pow_const,16,23032,23048,1b9215ab9acb5928e4ef562ecce48290b8d468ca3445482ec78a0ab934bfb642,110a3956e0b149501b2d6918aac79208a101b8093f7800454e80d5a6568a9e90,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,40
F2J001079,1079,F2D000550,primary,F2V000550,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P03,0,M1,pow_const_gauss,16,23032,23048,1b9215ab9acb5928e4ef562ecce48290b8d468ca3445482ec78a0ab934bfb642,110a3956e0b149501b2d6918aac79208a101b8093f7800454e80d5a6568a9e90,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,41
F2J001080,1080,F2D000550,primary,F2V000550,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P03,0,M2,bpow_const,16,23032,23048,1b9215ab9acb5928e4ef562ecce48290b8d468ca3445482ec78a0ab934bfb642,110a3956e0b149501b2d6918aac79208a101b8093f7800454e80d5a6568a9e90,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,42
F2J001081,1081,F2D000551,primary,F2V000551,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P04,0,M0,pow_const,16,23048,23064,1b9215ab9acb5928e4ef562ecce48290b8d468ca3445482ec78a0ab934bfb642,00eebb1b9838098d4fe3337cad02b65265a849c9c1d6f664c9efc79080f5c652,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,43
F2J001082,1082,F2D000551,primary,F2V000551,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P04,0,M1,pow_const_gauss,16,23048,23064,1b9215ab9acb5928e4ef562ecce48290b8d468ca3445482ec78a0ab934bfb642,00eebb1b9838098d4fe3337cad02b65265a849c9c1d6f664c9efc79080f5c652,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,44
