planned_decision_id,planned_order,decision_class,event_id,pair_id,observational_role,window_variant_id,processing_profile_id,external_optimizer_seed,execute_only_if_eligible,planned_models,candidate_discovery_use,variant_id,admissibility_status,execute_afino,input_n_samples,input_time_sha256,input_flux_sha256,payload_start_offset,payload_end_offset,resolved_decision_status
F2D000060,60,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX1,P05,0,true,M0|M1|M2,false,F2V000060,ELIGIBLE_FOR_AFINO,true,17,bb4a53e21afdaac256a3622516c1aaea4f1529a1f3088eab50112cfe0f19ae78,4636e6ec374a79c58476ebb34b497ffc16bad2a4fd215c2ecf726f2489308e83,571,588,READY_FOR_AFINO
F2D000061,61,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC1,P00,0,true,M0|M1|M2,false,F2V000061,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000062,62,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC1,P01,0,true,M0|M1|M2,false,F2V000062,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000063,63,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC1,P02,0,true,M0|M1|M2,false,F2V000063,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000064,64,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC1,P03,0,true,M0|M1|M2,false,F2V000064,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000065,65,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC1,P04,0,true,M0|M1|M2,false,F2V000065,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000066,66,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC1,P05,0,true,M0|M1|M2,false,F2V000066,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000067,67,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX2,P00,0,true,M0|M1|M2,false,F2V000067,ELIGIBLE_FOR_AFINO,true,19,75cd2ffd0d9967e84980b80356b3449c8f7d3830c3f632807d5fa6abea95ba84,9a7d3aaa2ab9510076369afc957f47f46a8120fcd900fa365d7fa6171fc8d363,588,607,READY_FOR_AFINO
F2D000068,68,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX2,P01,0,true,M0|M1|M2,false,F2V000068,ELIGIBLE_FOR_AFINO,true,19,75cd2ffd0d9967e84980b80356b3449c8f7d3830c3f632807d5fa6abea95ba84,9a679e878fbd6c1a06e5380bf8509215e2199ba602c7f98bfe96b053c6aba528,607,626,READY_FOR_AFINO
F2D000069,69,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX2,P02,0,true,M0|M1|M2,false,F2V000069,ELIGIBLE_FOR_AFINO,true,19,75cd2ffd0d9967e84980b80356b3449c8f7d3830c3f632807d5fa6abea95ba84,9a7d3aaa2ab9510076369afc957f47f46a8120fcd900fa365d7fa6171fc8d363,626,645,READY_FOR_AFINO
F2D000070,70,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX2,P03,0,true,M0|M1|M2,false,F2V000070,ELIGIBLE_FOR_AFINO,true,19,75cd2ffd0d9967e84980b80356b3449c8f7d3830c3f632807d5fa6abea95ba84,9a679e878fbd6c1a06e5380bf8509215e2199ba602c7f98bfe96b053c6aba528,645,664,READY_FOR_AFINO
F2D000071,71,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX2,P04,0,true,M0|M1|M2,false,F2V000071,ELIGIBLE_FOR_AFINO,true,19,75cd2ffd0d9967e84980b80356b3449c8f7d3830c3f632807d5fa6abea95ba84,f3ed8da95c8977acbd74ccaf74c5af869606c229b71f15a26060585ef328a1bf,664,683,READY_FOR_AFINO
F2D000072,72,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX2,P05,0,true,M0|M1|M2,false,F2V000072,ELIGIBLE_FOR_AFINO,true,19,75cd2ffd0d9967e84980b80356b3449c8f7d3830c3f632807d5fa6abea95ba84,ced12ce275936c16dfcf80984a63464431cfddeed80bb1992de09b994300daef,683,702,READY_FOR_AFINO
F2D000073,73,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC2,P00,0,true,M0|M1|M2,false,F2V000073,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000074,74,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC2,P01,0,true,M0|M1|M2,false,F2V000074,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000075,75,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC2,P02,0,true,M0|M1|M2,false,F2V000075,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000076,76,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC2,P03,0,true,M0|M1|M2,false,F2V000076,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000077,77,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC2,P04,0,true,M0|M1|M2,false,F2V000077,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000078,78,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WC2,P05,0,true,M0|M1|M2,false,F2V000078,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000079,79,primary,notselected_pdcsap_all,calibration_pair,MATCHED_NOT_SELECTED,W00,P00,0,true,M0|M1|M2,false,F2V000079,ELIGIBLE_FOR_AFINO,true,15,8319218702ea71604c32e0e6b031e671762d34436a02cdef5778c184be0daf10,f73b27ca15f57c2d3ca4b9b3f12445c1a79888cb22531f722b10364ee0e55de3,702,717,READY_FOR_AFINO
F2D000080,80,primary,notselected_pdcsap_all,calibration_pair,MATCHED_NOT_SELECTED,W00,P01,0,true,M0|M1|M2,false,F2V000080,ELIGIBLE_FOR_AFINO,true,15,8319218702ea71604c32e0e6b031e671762d34436a02cdef5778c184be0daf10,cc1091665170b7ee292cafa00259e70fa2b6c4c5f872326dfc58958d4bf15d5c,717,732,READY_FOR_AFINO
F2D000081,81,primary,notselected_pdcsap_all,calibration_pair,MATCHED_NOT_SELECTED,W00,P02,0,true,M0|M1|M2,false,F2V000081,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
F2D000082,82,primary,notselected_pdcsap_all,calibration_pair,MATCHED_NOT_SELECTED,W00,P03,0,true,M0|M1|M2,false,F2V000082,TOO_FEW_CADENCES,false,,,,,,INPUT_INADMISSIBLE
