series_id,condition_id,parent_id,block_id,ground_truth,n_samples,duration_s,red_noise_alpha,period_s,qpp_fraction,data_seed,external_optimizer_seed,decision_status,bic_m0,bic_m1,bic_m2,delta_bic_0_1,delta_bic_2_1,joint_margin,margin_limiting_model,bic_winner,qpp_selected,estimated_period_s,period_population_label,signed_period_error_s,absolute_period_error_s,relative_signed_error,relative_absolute_error
NWS000054,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S13_P050,NWB_A0_S13,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,13,0,VALID,-2.620731601244444,2.483227943371274,0.8423684312264443,-5.1039595446157175,-1.6408595121448295,-15.103959544615718,M0,M0,False,46.7534953468435,formal_m1_center_not_selected,-3.2465046531564994,3.2465046531564994,-0.06493009306312998,0.06493009306312998
NWS000055,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S14_P050,NWB_A0_S14,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,14,0,VALID,-5.321327245169504,0.0716388381023858,-1.797465134499821,-5.39296608327189,-1.8691039726022067,-15.39296608327189,M0,M0,False,54.487663822599885,formal_m1_center_not_selected,4.487663822599885,4.487663822599885,0.0897532764519977,0.0897532764519977
NWS000056,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S15_P050,NWB_A0_S15,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,15,0,VALID,-5.52046879621664,-0.07479250865439901,-1.7636049508584781,-5.445676287562241,-1.6888124422040791,-15.445676287562241,M0,M0,False,54.85325653930147,formal_m1_center_not_selected,4.853256539301469,4.853256539301469,0.09706513078602938,0.09706513078602938
NWS000057,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S16_P050,NWB_A0_S16,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,16,0,VALID,-4.775810333705291,0.5241634450579191,-1.4273592382169928,-5.29997377876321,-1.951522683274912,-15.29997377876321,M0,M0,False,64.67983899971448,formal_m1_center_not_selected,14.679838999714477,14.679838999714477,0.2935967799942895,0.2935967799942895
NWS000058,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S17_P050,NWB_A0_S17,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,17,0,VALID,-5.526647606534047,-0.37746922764968005,-1.959473293013235,-5.149178378884367,-1.582004065363555,-15.149178378884367,M0,M0,False,40.0,formal_m1_center_not_selected,-10.0,10.0,-0.2,0.2
NWS000059,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S18_P050,NWB_A0_S18,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,18,0,VALID,-4.942960915385379,0.5736675641151336,-1.2738088484373948,-5.516628479500513,-1.8474764125525285,-15.516628479500513,M0,M0,False,40.0,formal_m1_center_not_selected,-10.0,10.0,-0.2,0.2
NWS000060,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S19_P050,NWB_A0_S19,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,19,0,VALID,-3.035057726982022,2.4183771952362996,0.5023568641789771,-5.453434922218321,-1.9160203310573225,-15.453434922218321,M0,M0,False,158.82759727448024,formal_m1_center_not_selected,108.82759727448024,108.82759727448024,2.1765519454896047,2.1765519454896047
NWS000061,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S20_P050,NWB_A0_S20,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,20,0,VALID,-4.983770279091605,0.5453427864146132,-1.2911026745097507,-5.529113065506218,-1.836445460924364,-15.529113065506218,M0,M0,False,218.29207839152642,formal_m1_center_not_selected,168.29207839152642,168.29207839152642,3.3658415678305285,3.3658415678305285
NWS000062,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S21_P050,NWB_A0_S21,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,21,0,VALID,-2.3180516207535367,3.0560886434277315,1.135108969920993,-5.374140264181268,-1.9209796735067384,-15.374140264181268,M0,M0,False,46.77888301989952,formal_m1_center_not_selected,-3.221116980100483,3.221116980100483,-0.06442233960200966,0.06442233960200966
NWS000063,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S22_P050,NWB_A0_S22,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,22,0,VALID,-3.527218408540462,2.007105401830021,0.2773388455453434,-5.534323810370482,-1.7297665562846776,-15.534323810370482,M0,M0,False,53.95220339089732,formal_m1_center_not_selected,3.952203390897317,3.952203390897317,0.07904406781794635,0.07904406781794635
