parent_id,block_id,ground_truth,period_s,qpp_fraction,red_noise_alpha,data_seed,transition,n_from,n_to,delta_bic_0_1_from,delta_bic_0_1_to,delta_bic_2_1_from,delta_bic_2_1_to,joint_margin_from,joint_margin_to,paired_change_delta_bic_0_1,paired_change_delta_bic_2_1,paired_change_joint_margin,support_hypothesis_contrast,support_contrast_sign,cross_m0_up,cross_m0_down,cross_m2_up,cross_m2_down,qpp_selected_from,qpp_selected_to,joint_selection_up,joint_selection_down
NWP_A1_S27_P080,NWB_A1_S27,STATIONARY_QPP_PRESENT,80.0,0.04,1.0,27,60_to_90,60,90,-5.626067655544659,-8.08542837342344,0.009499349486389974,-1.2334222574417595,-15.62606765554466,-18.08542837342344,-2.4593607178787806,-1.2429216069281495,-2.4593607178787806,-1.2164391109506312,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A1_S27_P080,NWB_A1_S27,STATIONARY_QPP_PRESENT,80.0,0.04,1.0,27,90_to_120,90,120,-8.08542837342344,-6.725813239016816,-1.2334222574417595,0.19670577934283529,-18.08542837342344,-16.725813239016816,1.3596151344066243,1.4301280367845948,1.3596151344066243,-0.07051290237797048,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A1_S28_NULL,NWB_A1_S28,NULL_FLARE_RED_NOISE,,,1.0,28,15_to_30,15,30,-5.517996854005476,-7.730144490046129,-1.9309067541360365,-2.5937063895986086,-15.517996854005476,-17.73014449004613,-2.212147636040653,-0.662799635462572,-2.212147636040653,,,False,False,False,False,False,False,False,False
NWP_A1_S28_NULL,NWB_A1_S28,NULL_FLARE_RED_NOISE,,,1.0,28,30_to_45,30,45,-7.730144490046129,-5.51429444007951,-2.5937063895986086,0.11935905952410053,-17.73014449004613,-15.51429444007951,2.215850049966619,2.713065449122709,2.215850049966619,,,False,False,False,False,False,False,False,False
NWP_A1_S28_NULL,NWB_A1_S28,NULL_FLARE_RED_NOISE,,,1.0,28,45_to_60,45,60,-5.51429444007951,-3.9287461193389674,0.11935905952410053,-0.4886325289257343,-15.51429444007951,-13.928746119338967,1.5855483207405427,-0.6079915884498348,1.5855483207405427,,,False,False,False,False,False,False,False,False
NWP_A1_S28_NULL,NWB_A1_S28,NULL_FLARE_RED_NOISE,,,1.0,28,60_to_90,60,90,-3.9287461193389674,-7.229383925885713,-0.4886325289257343,-1.0673596698969732,-13.928746119338967,-17.229383925885713,-3.300637806546746,-0.5787271409712389,-3.300637806546746,,,False,False,False,False,False,False,False,False
NWP_A1_S28_NULL,NWB_A1_S28,NULL_FLARE_RED_NOISE,,,1.0,28,90_to_120,90,120,-7.229383925885713,-5.349784540373719,-1.0673596698969732,-1.7071683762847556,-17.229383925885713,-15.349784540373719,1.8795993855119946,-0.6398087063877824,1.8795993855119946,,,False,False,False,False,False,False,False,False
NWP_A1_S28_P050,NWB_A1_S28,STATIONARY_QPP_PRESENT,50.0,0.04,1.0,28,15_to_30,15,30,-5.6032573748013945,-6.414886923569981,-1.934706502927921,-1.5646643467621857,-15.603257374801395,-16.41488692356998,-0.8116295487685861,0.3700421561657352,-0.8116295487685861,-1.1816717049343213,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A1_S28_P050,NWB_A1_S28,STATIONARY_QPP_PRESENT,50.0,0.04,1.0,28,30_to_45,30,45,-6.414886923569981,-3.982731610491413,-1.5646643467621857,1.4898284668514634,-16.41488692356998,-13.982731610491413,2.4321553130785674,3.054492813613649,2.4321553130785674,-0.6223375005350817,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A1_S28_P050,NWB_A1_S28,STATIONARY_QPP_PRESENT,50.0,0.04,1.0,28,45_to_60,45,60,-3.982731610491413,-2.666094018826044,1.4898284668514634,0.9516619284613625,-13.982731610491413,-12.666094018826044,1.3166375916653692,-0.5381665383901009,1.3166375916653692,1.85480413005547,POSITIVE,False,False,False,False,False,False,False,False
NWP_A1_S28_P050,NWB_A1_S28,STATIONARY_QPP_PRESENT,50.0,0.04,1.0,28,60_to_90,60,90,-2.666094018826044,-6.916984456041519,0.9516619284613625,-0.7534673867722859,-12.666094018826044,-16.91698445604152,-4.2508904372154745,-1.7051293152336484,-4.2508904372154745,-2.545761121981826,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A1_S28_P050,NWB_A1_S28,STATIONARY_QPP_PRESENT,50.0,0.04,1.0,28,90_to_120,90,120,-6.916984456041519,-5.341169518482388,-0.7534673867722859,-1.7152419081185712,-16.91698445604152,-15.341169518482388,1.5758149375591302,-0.9617745213462854,1.5758149375591302,2.5375894589054155,POSITIVE,False,False,False,False,False,False,False,False
NWP_A1_S28_P080,NWB_A1_S28,STATIONARY_QPP_PRESENT,80.0,0.04,1.0,28,15_to_30,15,30,-5.221700783613715,-6.729358643348661,-1.9500814201330838,-1.6549916071819695,-15.221700783613715,-16.72935864334866,-1.5076578597349464,0.29508981295111436,-1.5076578597349464,-1.8027476726860607,NEGATIVE,False,False,False,False,False,False,False,False
