job_id,job_order,job_class,series_id,condition_id,parent_id,block_id,ground_truth,n_samples,duration_s,red_noise_alpha,period_s,qpp_fraction,data_seed,external_optimizer_seed,model_id,model_name,flux_start_offset,flux_end_offset,time_vector_id,input_flux_sha256,input_time_sha256,parent_n120_series_id
NWJ003123,3123,primary,NWS001041,NW027_QPP_N045_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,45,880,2,80.0,0.04,0,0,M2,bpow_const,30600,30645,NT_N045,3cfc2db6fd99ac596dda5e7380e963c42e44020875f8ade046dd174816ef76ef,53d6f419d7c4fb494a8959ad2735433208ea78f8a82471c3ce4638449fbf9ded,NWS002121
NWJ007183,7183,stability,NWS001041,NW027_QPP_N045_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,45,880,2,80.0,0.04,0,1,M0,pow_const,30600,30645,NT_N045,3cfc2db6fd99ac596dda5e7380e963c42e44020875f8ade046dd174816ef76ef,53d6f419d7c4fb494a8959ad2735433208ea78f8a82471c3ce4638449fbf9ded,NWS002121
NWJ007184,7184,stability,NWS001041,NW027_QPP_N045_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,45,880,2,80.0,0.04,0,1,M1,pow_const_gauss,30600,30645,NT_N045,3cfc2db6fd99ac596dda5e7380e963c42e44020875f8ade046dd174816ef76ef,53d6f419d7c4fb494a8959ad2735433208ea78f8a82471c3ce4638449fbf9ded,NWS002121
NWJ007185,7185,stability,NWS001041,NW027_QPP_N045_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,45,880,2,80.0,0.04,0,1,M2,bpow_const,30600,30645,NT_N045,3cfc2db6fd99ac596dda5e7380e963c42e44020875f8ade046dd174816ef76ef,53d6f419d7c4fb494a8959ad2735433208ea78f8a82471c3ce4638449fbf9ded,NWS002121
NWJ004201,4201,primary,NWS001401,NW036_QPP_N060_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,60,1180,2,80.0,0.04,0,0,M0,pow_const,51600,51660,NT_N060,dedd4669bd7e10cc2c007c7fde312d5cd3e07af416ee29ce64efbdab94200b67,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,NWS002121
NWJ004202,4202,primary,NWS001401,NW036_QPP_N060_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,60,1180,2,80.0,0.04,0,0,M1,pow_const_gauss,51600,51660,NT_N060,dedd4669bd7e10cc2c007c7fde312d5cd3e07af416ee29ce64efbdab94200b67,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,NWS002121
NWJ004203,4203,primary,NWS001401,NW036_QPP_N060_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,60,1180,2,80.0,0.04,0,0,M2,bpow_const,51600,51660,NT_N060,dedd4669bd7e10cc2c007c7fde312d5cd3e07af416ee29ce64efbdab94200b67,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,NWS002121
NWJ007426,7426,stability,NWS001401,NW036_QPP_N060_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,60,1180,2,80.0,0.04,0,1,M0,pow_const,51600,51660,NT_N060,dedd4669bd7e10cc2c007c7fde312d5cd3e07af416ee29ce64efbdab94200b67,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,NWS002121
NWJ007427,7427,stability,NWS001401,NW036_QPP_N060_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,60,1180,2,80.0,0.04,0,1,M1,pow_const_gauss,51600,51660,NT_N060,dedd4669bd7e10cc2c007c7fde312d5cd3e07af416ee29ce64efbdab94200b67,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,NWS002121
NWJ007428,7428,stability,NWS001401,NW036_QPP_N060_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,60,1180,2,80.0,0.04,0,1,M2,bpow_const,51600,51660,NT_N060,dedd4669bd7e10cc2c007c7fde312d5cd3e07af416ee29ce64efbdab94200b67,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,NWS002121
NWJ005281,5281,primary,NWS001761,NW045_QPP_N090_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,90,1780,2,80.0,0.04,0,0,M0,pow_const,82800,82890,NT_N090,971335c34514e86988d91e4c5eb870d6c14e042add28ef97b060b78ff6adf2c4,7c503bca93ba19d0fbe66f82a4c8ed063f60df020616c6e40c34f18b98e0c2b4,NWS002121
NWJ005282,5282,primary,NWS001761,NW045_QPP_N090_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,90,1780,2,80.0,0.04,0,0,M1,pow_const_gauss,82800,82890,NT_N090,971335c34514e86988d91e4c5eb870d6c14e042add28ef97b060b78ff6adf2c4,7c503bca93ba19d0fbe66f82a4c8ed063f60df020616c6e40c34f18b98e0c2b4,NWS002121
NWJ005283,5283,primary,NWS001761,NW045_QPP_N090_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,90,1780,2,80.0,0.04,0,0,M2,bpow_const,82800,82890,NT_N090,971335c34514e86988d91e4c5eb870d6c14e042add28ef97b060b78ff6adf2c4,7c503bca93ba19d0fbe66f82a4c8ed063f60df020616c6e40c34f18b98e0c2b4,NWS002121
NWJ007669,7669,stability,NWS001761,NW045_QPP_N090_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,90,1780,2,80.0,0.04,0,1,M0,pow_const,82800,82890,NT_N090,971335c34514e86988d91e4c5eb870d6c14e042add28ef97b060b78ff6adf2c4,7c503bca93ba19d0fbe66f82a4c8ed063f60df020616c6e40c34f18b98e0c2b4,NWS002121
NWJ007670,7670,stability,NWS001761,NW045_QPP_N090_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,90,1780,2,80.0,0.04,0,1,M1,pow_const_gauss,82800,82890,NT_N090,971335c34514e86988d91e4c5eb870d6c14e042add28ef97b060b78ff6adf2c4,7c503bca93ba19d0fbe66f82a4c8ed063f60df020616c6e40c34f18b98e0c2b4,NWS002121
