condition_id,ground_truth,n_samples,duration_s,red_noise_alpha,period_s,qpp_fraction,primary_decision_count,selection_count,selection_rate,wilson_ci_low,wilson_ci_high,median_delta_bic_0_1,median_delta_bic_2_1,median_joint_margin,limiting_m0_count,limiting_m2_count,limiting_tie_count,bic_winner_m0_count,bic_winner_m1_count,bic_winner_m2_count,bic_winner_tie_count,selected_period_count,selected_signed_period_error_median_s,selected_absolute_period_error_median_s,formal_period_count,formal_signed_period_error_median_s,formal_absolute_period_error_median_s
NW021_QPP_N045_P080_A0_Q040,STATIONARY_QPP_PRESENT,45,880.0,0.0,80.0,0.04,40,0,0.0,0.0,0.08762160119728664,-6.758529879131544,-1.0534319443919742,-16.758529879131544,40,0,0,39,1,0,0,0,,,40,-16.132660626028002,26.2099753307806
NW022_NULL_N045_A1,NULL_FLARE_RED_NOISE,45,880.0,1.0,,,40,0,0.0,0.0,0.08762160119728664,-7.073779826167041,-1.620482342406092,-17.07377982616704,40,0,0,39,1,0,0,0,,,0,,
NW023_QPP_N045_P050_A1_Q040,STATIONARY_QPP_PRESENT,45,880.0,1.0,50.0,0.04,40,0,0.0,0.0,0.08762160119728664,-6.214094148107122,-0.8425657995671685,-16.214094148107122,40,0,0,39,1,0,0,0,,,40,7.884707097825483,7.884707097825483
NW024_QPP_N045_P080_A1_Q040,STATIONARY_QPP_PRESENT,45,880.0,1.0,80.0,0.04,40,0,0.0,0.0,0.08762160119728664,-6.664595527421511,-1.1508435462036886,-16.66459552742151,40,0,0,39,1,0,0,0,,,40,-4.12990815237017,10.691887969176499
NW025_NULL_N045_A2,NULL_FLARE_RED_NOISE,45,880.0,2.0,,,40,0,0.0,0.0,0.08762160119728664,-8.750934124995425,-2.7121285005865303,-18.750934124995425,40,0,0,40,0,0,0,0,,,0,,
NW026_QPP_N045_P050_A2_Q040,STATIONARY_QPP_PRESENT,45,880.0,2.0,50.0,0.04,40,0,0.0,0.0,0.08762160119728664,-5.383887104458125,0.07990089629826969,-15.383887104458125,40,0,0,40,0,0,0,0,,,40,0.8843294851716088,3.347567319973429
NW027_QPP_N045_P080_A2_Q040,STATIONARY_QPP_PRESENT,45,880.0,2.0,80.0,0.04,40,0,0.0,0.0,0.08762160119728664,-6.59952744944475,-1.4746872080722255,-16.59952744944475,40,0,0,40,0,0,0,0,,,40,1.602550275868495,7.704335739632164
NW028_NULL_N060_A0,NULL_FLARE_RED_NOISE,60,1180.0,0.0,,,40,0,0.0,0.0,0.08762160119728664,-5.377267154231234,0.006877132368529715,-15.377267154231234,40,0,0,37,3,0,0,0,,,0,,
NW029_QPP_N060_P050_A0_Q040,STATIONARY_QPP_PRESENT,60,1180.0,0.0,50.0,0.04,40,0,0.0,0.0,0.08762160119728664,-5.383969631415056,-0.15431194820983762,-15.383969631415056,40,0,0,38,2,0,0,0,,,40,8.381447331288069,10.0
NW030_QPP_N060_P080_A0_Q040,STATIONARY_QPP_PRESENT,60,1180.0,0.0,80.0,0.04,40,0,0.0,0.0,0.08762160119728664,-5.324934737796909,0.09498565277549176,-15.324934737796909,40,0,0,37,3,0,0,0,,,40,-16.272932814505356,25.97773331802707
NW031_NULL_N060_A1,NULL_FLARE_RED_NOISE,60,1180.0,1.0,,,40,1,0.025,0.0044268315026814095,0.1288136896347409,-5.7383880793695,-0.2570394813575376,-15.7383880793695,40,0,0,39,1,0,0,0,,,0,,
NW032_QPP_N060_P050_A1_Q040,STATIONARY_QPP_PRESENT,60,1180.0,1.0,50.0,0.04,40,1,0.025,0.0044268315026814095,0.1288136896347409,-5.838923739137144,0.18803932246846955,-15.838923739137144,40,0,0,39,1,0,0,1,17.251109196349034,17.251109196349034,40,23.767138095917602,23.767138095917602
NW033_QPP_N060_P080_A1_Q040,STATIONARY_QPP_PRESENT,60,1180.0,1.0,80.0,0.04,40,1,0.025,0.0044268315026814095,0.1288136896347409,-5.552451893385367,0.0024997039153191736,-15.552451893385367,40,0,0,39,1,0,0,1,-12.154367236766987,12.154367236766987,40,-5.882822190827618,15.569067736957486
NW034_NULL_N060_A2,NULL_FLARE_RED_NOISE,60,1180.0,2.0,,,40,0,0.0,0.0,0.08762160119728664,-8.83954732152091,-2.7002528488033875,-18.83954732152091,40,0,0,40,0,0,0,0,,,0,,
NW035_QPP_N060_P050_A2_Q040,STATIONARY_QPP_PRESENT,60,1180.0,2.0,50.0,0.04,40,0,0.0,0.0,0.08762160119728664,-6.57580279957628,-0.4471027430092249,-16.57580279957628,40,0,0,40,0,0,0,0,,,40,1.3509069795332351,3.0889436940499984
NW036_QPP_N060_P080_A2_Q040,STATIONARY_QPP_PRESENT,60,1180.0,2.0,80.0,0.04,40,0,0.0,0.0,0.08762160119728664,-7.3763843616534075,-1.7276693443941156,-17.376384361653407,40,0,0,40,0,0,0,0,,,40,-1.6654921266352076,7.764045068376767
NW037_NULL_N090_A0,NULL_FLARE_RED_NOISE,90,1780.0,0.0,,,40,0,0.0,0.0,0.08762160119728664,-6.034257004157681,1.0116389092801796,-16.03425700415768,40,0,0,36,4,0,0,0,,,0,,
NW038_QPP_N090_P050_A0_Q040,STATIONARY_QPP_PRESENT,90,1780.0,0.0,50.0,0.04,40,0,0.0,0.0,0.08762160119728664,-6.056107219172574,1.0025174598801811,-16.056107219172574,40,0,0,36,4,0,0,0,,,40,31.36653866798035,31.36653866798035
NW039_QPP_N090_P080_A0_Q040,STATIONARY_QPP_PRESENT,90,1780.0,0.0,80.0,0.04,40,0,0.0,0.0,0.08762160119728664,-6.0282659838495505,1.0123556170447046,-16.02826598384955,40,0,0,36,4,0,0,0,,,40,1.3372325613363216,32.859576655533004
NW040_NULL_N090_A1,NULL_FLARE_RED_NOISE,90,1780.0,1.0,,,40,0,0.0,0.0,0.08762160119728664,-5.288355233785381,0.5102964605373188,-15.288355233785381,40,0,0,35,5,0,0,0,,,0,,
NW041_QPP_N090_P050_A1_Q040,STATIONARY_QPP_PRESENT,90,1780.0,1.0,50.0,0.04,40,0,0.0,0.0,0.08762160119728664,-5.7298307866547304,0.3998098416798541,-15.72983078665473,40,0,0,36,4,0,0,0,,,40,39.60538349292739,39.60538349292739
NW042_QPP_N090_P080_A1_Q040,STATIONARY_QPP_PRESENT,90,1780.0,1.0,80.0,0.04,40,0,0.0,0.0,0.08762160119728664,-5.280319416983588,0.5956896634238547,-15.280319416983588,40,0,0,35,5,0,0,0,,,40,8.863260045580276,21.490689457829742
NW043_NULL_N090_A2,NULL_FLARE_RED_NOISE,90,1780.0,2.0,,,40,0,0.0,0.0,0.08762160119728664,-7.160805879607551,-1.8017324000873884,-17.16080587960755,39,1,0,39,1,0,0,0,,,0,,
NW044_QPP_N090_P050_A2_Q040,STATIONARY_QPP_PRESENT,90,1780.0,2.0,50.0,0.04,40,0,0.0,0.0,0.08762160119728664,-7.073559749252354,-0.8789576588377201,-17.073559749252354,40,0,0,38,2,0,0,0,,,40,19.826384495000326,19.826384495000326
NW045_QPP_N090_P080_A2_Q040,STATIONARY_QPP_PRESENT,90,1780.0,2.0,80.0,0.04,40,0,0.0,0.0,0.08762160119728664,-7.3682518824549845,-1.8382286131340209,-17.368251882454985,39,1,0,39,1,0,0,0,,,40,-2.1319267788597074,15.184799080563437
NW046_NULL_N120_A0,NULL_FLARE_RED_NOISE,120,2380.0,0.0,,,40,0,0.0,0.0,0.08762160119728664,-5.7398787120559405,2.3124550442156533,-15.73987871205594,40,0,0,33,7,0,0,0,,,0,,
NW047_QPP_N120_P050_A0_Q040,STATIONARY_QPP_PRESENT,120,2380.0,0.0,50.0,0.04,40,0,0.0,0.0,0.08762160119728664,-5.584719871570911,2.346756218653667,-15.584719871570911,40,0,0,33,7,0,0,0,,,40,36.409185372743806,36.409185372743806
NW048_QPP_N120_P080_A0_Q040,STATIONARY_QPP_PRESENT,120,2380.0,0.0,80.0,0.04,40,0,0.0,0.0,0.08762160119728664,-5.569958344243389,2.343115470949101,-15.569958344243389,40,0,0,33,7,0,0,0,,,40,6.4186746585022405,31.28332096855587
NW049_NULL_N120_A1,NULL_FLARE_RED_NOISE,120,2380.0,1.0,,,40,1,0.025,0.0044268315026814095,0.1288136896347409,-4.58787727855298,1.8867058571230757,-14.58787727855298,40,0,0,34,6,0,0,0,,,0,,
NW050_QPP_N120_P050_A1_Q040,STATIONARY_QPP_PRESENT,120,2380.0,1.0,50.0,0.04,40,1,0.025,0.0044268315026814095,0.1288136896347409,-4.609830377700206,0.8556228230844738,-14.609830377700206,40,0,0,34,6,0,0,1,11.107534857381488,11.107534857381488,40,45.90866921120135,45.90866921120135
NW051_QPP_N120_P080_A1_Q040,STATIONARY_QPP_PRESENT,120,2380.0,1.0,80.0,0.04,40,1,0.025,0.0044268315026814095,0.1288136896347409,-4.607449990737138,1.3971359852701255,-14.607449990737138,40,0,0,34,6,0,0,1,-18.624690600963987,18.624690600963987,40,21.744597340837203,29.537377790119965
NW052_NULL_N120_A2,NULL_FLARE_RED_NOISE,120,2380.0,2.0,,,40,0,0.0,0.0,0.08762160119728664,-6.2024858691032705,-0.8464328900903411,-16.20248586910327,38,2,0,36,4,0,0,0,,,0,,
NW053_QPP_N120_P050_A2_Q040,STATIONARY_QPP_PRESENT,120,2380.0,2.0,50.0,0.04,40,0,0.0,0.0,0.08762160119728664,-5.972899625965567,-0.9235941559194885,-15.972899625965567,38,2,0,36,4,0,0,0,,,40,39.75198848695982,39.75198848695982
NW054_QPP_N120_P080_A2_Q040,STATIONARY_QPP_PRESENT,120,2380.0,2.0,80.0,0.04,40,0,0.0,0.0,0.08762160119728664,-6.237150858971916,-1.0943001449169287,-16.237150858971916,38,2,0,36,4,0,0,0,,,40,7.505145950943387,24.03755859967146
