parent_id,block_id,ground_truth,red_noise_alpha,data_seed,period_s,qpp_fraction,parent_n_samples,time_sha256,envelope_sha256,noise_sha256,phase_float64_sha256,qpp_component_sha256,parent_flux_sha256,all_finite,flux_mean,flux_std_ddof1,flux_min,flux_max,construction_status,error
NWP_A2_S18_NULL,NWB_A2_S18,NULL_FLARE_RED_NOISE,2,18,,,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,51043fe902d71166773e0ad522691e1cd49c80a5b7bbb170b42b8b4ba98b3328,bf25186217b5ae2c90a3fa390092c046db59052d16fefa2f841a4e482725c9a0,,ebed688794539ac9917b295e86de9527aadb3cb97f4eb943877f96b56b64d230,True,1.0205013742233471,0.072910916534275103,0.98860976211103402,1.5038213917728815,OK,
NWP_A2_S18_P050,NWB_A2_S18,STATIONARY_QPP_PRESENT,2,18,50,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,51043fe902d71166773e0ad522691e1cd49c80a5b7bbb170b42b8b4ba98b3328,bf25186217b5ae2c90a3fa390092c046db59052d16fefa2f841a4e482725c9a0,90a7472f876526d6e0e54e1a182e8e01be1ebf3389f7d780fff7eb1770185902,67eb2c2744c9b29358a22b9970fa36c3236b7b805b98ff64b4437098a9e20b15,True,1.0205349182039956,0.073264163300202176,0.98860974093275578,1.509315544912232,OK,
NWP_A2_S18_P080,NWB_A2_S18,STATIONARY_QPP_PRESENT,2,18,80,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,51043fe902d71166773e0ad522691e1cd49c80a5b7bbb170b42b8b4ba98b3328,bf25186217b5ae2c90a3fa390092c046db59052d16fefa2f841a4e482725c9a0,e0e8fee33a5abca00a7cdec3cabd66403e756cb930df8f64aadf784406f22454,942ec824da0b1fdae730c1b1d00073aa35120a1fc9373dce8e3dcf592a7e8f29,True,1.020580122112571,0.073608369124901998,0.98860978665785748,1.509315544912232,OK,
NWP_A2_S19_NULL,NWB_A2_S19,NULL_FLARE_RED_NOISE,2,19,,,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,e54ec87b4d8cdcc80daec6f0751fe029c7ddc64ae5a46a446adbbe168236c2ba,d9ad68b474a390cbeaf26da68f88148398ea98096e37172fce42c9b6b0e81333,,9c04e32c79b313c6caa5a1cad6e505e977e02f256cee8cff8a151651e8ed1d8b,True,1.0205013742233471,0.073011333146495619,0.98840631740517004,1.503318776627564,OK,
NWP_A2_S19_P050,NWB_A2_S19,STATIONARY_QPP_PRESENT,2,19,50,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,e54ec87b4d8cdcc80daec6f0751fe029c7ddc64ae5a46a446adbbe168236c2ba,d9ad68b474a390cbeaf26da68f88148398ea98096e37172fce42c9b6b0e81333,7d11df8011a35938108359a3d08981c3d220bb55f2c4d1247bd970ac2bc23f6e,f0539f47c87ac24c0637d9d26ded39714ec4505c78f5f4e3c720279ff087cb42,True,1.0205728604316171,0.073709732750136814,0.98840632775676607,1.5232120612548568,OK,
NWP_A2_S19_P080,NWB_A2_S19,STATIONARY_QPP_PRESENT,2,19,80,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,e54ec87b4d8cdcc80daec6f0751fe029c7ddc64ae5a46a446adbbe168236c2ba,d9ad68b474a390cbeaf26da68f88148398ea98096e37172fce42c9b6b0e81333,ccec7de7f463aaaba8891c63baa62446656731bf89a822e9f763993434cdf64f,5a8b67d28593c8ff6a5b7532ccac795c43c3d9043365909082d0fdff4348ac6d,True,1.0205934156784733,0.073798594666200784,0.98840631477146679,1.5232120612548568,OK,
NWP_A2_S20_NULL,NWB_A2_S20,NULL_FLARE_RED_NOISE,2,20,,,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,5db573d3b71be532b82a12fbd721eaac695e17c9441dd87dae998ac0b18a9faf,75371a7547be966f94f360498196dae98b8408f3ad1fdec47e80afd13ed81c92,,740bb3683c73b927afdf42fa7da3a2101dd622bec72995ce71881395cf7c1133,True,1.0205013742233473,0.07184602314191417,0.98923105859275484,1.4979344271930568,OK,
NWP_A2_S20_P050,NWB_A2_S20,STATIONARY_QPP_PRESENT,2,20,50,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,5db573d3b71be532b82a12fbd721eaac695e17c9441dd87dae998ac0b18a9faf,75371a7547be966f94f360498196dae98b8408f3ad1fdec47e80afd13ed81c92,a20fd110d52f5efca0b0cdcafbae37a37e3a09d5b7aa313b29b1b0fd4cab44d2,5012f410cad6d0261327e3088509f17d75ce0daef235926e18bcd569b8603460,True,1.0205045827341079,0.071877276145156641,0.98923467672010923,1.5025114944240772,OK,
NWP_A2_S20_P080,NWB_A2_S20,STATIONARY_QPP_PRESENT,2,20,80,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,5db573d3b71be532b82a12fbd721eaac695e17c9441dd87dae998ac0b18a9faf,75371a7547be966f94f360498196dae98b8408f3ad1fdec47e80afd13ed81c92,c8c3343a7dcf46572a5a69b02d566e714df8267661ec43c46759570b8e78e0d4,7e6795645176b10239c773989288e666b2968c8379cab225805c1a02f1bac2f6,True,1.0204713939882724,0.071593085602466647,0.98922744046540045,1.5025114944240772,OK,
NWP_A2_S21_NULL,NWB_A2_S21,NULL_FLARE_RED_NOISE,2,21,,,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,456c66f1bd8002945c583c832395fb99a87a29d34629a059944e673d0115248d,5254cdf110763670239e3df4cdc257a7baf91f2c6c8fae10ebd7de58664a3dc4,,f4251fc19d2c552de852fb227138e7a85e28cca334853d93c9c94fcaba215307,True,1.0205013742233473,0.072009228955142349,0.98897970975394611,1.5003017635088429,OK,
